sample_id,source_file,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,curve_rmse_uW,curve_mae_uW,area_error_J_g,tp_error_C,peak_height_error_uW,actual_area_J_g,pred_area_J_g,actual_tp_C,pred_tp_C,actual_peak_height_uW,pred_peak_height_uW,actual_width_C,pred_width_C,n_points_fit
onestep_70_001,PS-onestep-02.xlsx,single_step,70.0,0.1002,nan,nan,0.1002,41.70998948639773,36.4382795162311,0.06301681715312023,-0.3515396848062551,1.8290881732673228,4.118176472884006,4.181193290037126,89.515739440918,89.16419975611174,93.18096943229199,95.01005760555931,9.280467200995735,9.093701243600036,3582
onestep_70_002,PS-onestep-02.xlsx,single_step,70.0,0.4998,nan,nan,0.4998,39.99322503074215,35.282814165785815,-0.05315252256487266,0.12980861861726112,-2.132462930219873,4.115645282468246,4.062492759903373,89.064811706543,89.19462032516026,94.27026569816405,92.13780276794418,9.01422327266091,9.1134926057125,3581
onestep_70_003,PS-onestep-02.xlsx,single_step,70.0,0.7979999999999999,nan,nan,0.7979999999999999,39.78333247003932,35.052661371570274,-0.05254596713030694,-0.20612317807812985,-1.752615453605813,4.08837206585687,4.035826098726562,89.3781509399414,89.17202776186328,93.28557732039906,91.53296186679324,9.19642699155508,9.10130051496093,3582
onestep_70_004,PS-onestep-02.xlsx,single_step,70.0,1.0002,nan,nan,1.0002,39.5381116209738,34.75582645471289,-0.026851533321207093,0.22832005505422615,-1.1682045536159649,4.051683425348984,4.024831892027777,88.9567108154297,89.18503087048393,92.44076521221507,91.2725606585991,8.971511732803087,9.108659020948304,3581
onestep_70_005,PS-onestep-02.xlsx,single_step,70.0,4.998,nan,nan,4.998,38.62803250638149,34.19673306875158,-0.13644115523514416,-0.04350529806151826,-4.382450670376571,4.10563220962876,3.969191054393615,89.1899566650391,89.14645136697759,94.24447965252017,89.8620289821436,9.087584188415976,9.092981978519205,3582
onestep_70_006,PS-onestep-02.xlsx,single_step,70.0,10.020000000000001,nan,nan,10.020000000000001,38.87481855315341,34.25256477883509,-0.07863102628492058,-0.269199953339438,-2.755813697856567,4.060107302343285,3.981476276058363,89.3919067382813,89.12270678494187,92.82627933747136,90.0704656396148,9.194371939391456,9.083780746974634,3582
onestep_70_007,PS-onestep-02.xlsx,single_step,70.0,49.98,nan,nan,49.98,41.29641017008491,35.93399039677439,0.17903068654767515,-0.1413329394331555,2.6840056715200546,3.9727903534593074,4.1518210400069835,89.2302322387695,89.08889929933635,90.96588774444922,93.64989341596927,9.089946574209877,9.078377597200106,3582
onestep_70_008,PS-onestep-02.xlsx,single_step,70.0,100.02,nan,nan,100.02,43.46794953326272,37.564300642959815,0.2883481043035945,-0.7197024436642465,5.531772866959344,3.9950003510314995,4.283348455335093,89.7784423828125,89.05873993914825,90.94244622693066,96.47421909389,9.404625128336589,9.069390127581569,3583
onestep_70_009,PS-onestep-02.xlsx,single_step,70.0,499.98,nan,nan,499.98,49.02763690196259,41.49173326252772,0.5891005328696033,-0.34960175078656164,16.052249508875036,3.921042066885391,4.510142599754993,89.3629455566406,89.01334380585403,85.35120330742933,101.40345281630437,9.311726469714248,9.056191348153993,3582
onestep_70_010,PS-onestep-02.xlsx,single_step,70.0,1000.0200000000001,nan,nan,1000.0200000000001,49.59545497119362,42.15165004563095,0.5288109313026528,0.9524578200830405,16.073688613513326,3.9603342102496937,4.4891451415523465,88.0988464355469,89.05130425562994,84.86249763200499,100.93618624551831,8.77091910637298,9.072901386350592,3582
