figure,panel,t2_s,t1_s,fit_curve_rank_top_to_bottom,fit_curve_color,delta_h_kj_mol,source_pixel_x,source_pixel_y,source_point_id,source_marker_color,visible_markers_at_t2,assignment_method,note
Fig2,a,200,50.0,9,blue_star,0.66854,611.0,537.0,32,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,200,100.0,10,red,0.66854,611.0,537.0,32,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,0.1,1,blue,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,0.2,2,orange,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,0.5,3,light_green,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,1.0,4,lavender,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,2.0,5,peach_orange,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,5.0,6,yellow,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,10.0,7,yellow_green,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,20.0,8,magenta,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,50.0,9,blue_star,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,500,100.0,10,red,0.68427,663.0,551.0,34,red/orange,1,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,0.1,1,blue,0.68258,730.0,549.5,36,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,0.2,2,orange,0.68258,730.0,549.5,36,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,0.5,3,light_green,0.68258,730.0,549.5,36,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,1.0,4,lavender,0.68258,730.0,549.5,36,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,2.0,5,peach_orange,0.68258,730.0,549.5,36,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,5.0,6,yellow,0.6839,698.67,550.67,35,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,10.0,7,yellow_green,0.6839,698.67,550.67,35,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,20.0,8,magenta,0.6839,698.67,550.67,35,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,50.0,9,blue_star,0.6839,698.67,550.67,35,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,a,1000,100.0,10,red,0.6839,698.67,550.67,35,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,0.1,1,blue,0.19326,222.0,114.0,1,blue/purple,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,0.2,2,orange,0.22247,222.0,140.0,2,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,0.5,3,light_green,0.22247,222.0,140.0,2,green,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,1.0,4,lavender,0.24382,222.5,159.0,6,blue/purple,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,2.0,5,peach_orange,0.24382,222.5,159.0,6,blue/purple,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,5.0,6,yellow,0.26742,222.0,180.0,3,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,10.0,7,yellow_green,0.26742,222.0,180.0,3,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,20.0,8,magenta,0.33596,222.0,241.0,4,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,50.0,9,blue_star,0.33596,222.0,241.0,4,orange/yellow,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.1,100.0,10,red,0.58539,222.0,463.0,5,red/orange,6,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,0.1,1,blue,0.22809,258.0,145.0,8,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,0.2,2,orange,0.22809,258.0,145.0,8,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,0.5,3,light_green,0.24494,258.0,160.0,9,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,1.0,4,lavender,0.24494,258.0,160.0,9,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,2.0,5,peach_orange,0.26854,257.0,181.0,7,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,5.0,6,yellow,0.26854,257.0,181.0,7,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,10.0,7,yellow_green,0.33034,258.0,236.0,10,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,20.0,8,magenta,0.33034,258.0,236.0,10,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,50.0,9,blue_star,0.56966,258.0,449.0,11,red/orange,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.2,100.0,10,red,0.56966,258.0,449.0,11,red/orange,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,0.1,1,blue,0.27191,306.0,184.0,13,"rgb(123,83,143)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,0.2,2,orange,0.27191,306.0,184.0,13,"rgb(123,83,143)",4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,0.5,3,light_green,0.30449,305.0,213.0,12,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,1.0,4,lavender,0.30449,305.0,213.0,12,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,2.0,5,peach_orange,0.30449,305.0,213.0,12,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,5.0,6,yellow,0.33202,307.0,237.5,15,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,10.0,7,yellow_green,0.33202,307.0,237.5,15,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,20.0,8,magenta,0.33202,307.0,237.5,15,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,50.0,9,blue_star,0.55843,306.5,439.0,14,red/orange,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,0.5,100.0,10,red,0.55843,306.5,439.0,14,red/orange,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,0.1,1,blue,0.33371,349.5,239.0,17,"rgb(159,150,163)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,0.2,2,orange,0.33371,349.5,239.0,17,"rgb(159,150,163)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,0.5,3,light_green,0.33371,349.5,239.0,17,"rgb(159,150,163)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,1.0,4,lavender,0.33371,349.5,239.0,17,"rgb(159,150,163)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,2.0,5,peach_orange,0.33371,349.5,239.0,17,"rgb(159,150,163)",2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,5.0,6,yellow,0.34944,343.0,253.0,16,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,10.0,7,yellow_green,0.34944,343.0,253.0,16,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,20.0,8,magenta,0.34944,343.0,253.0,16,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,50.0,9,blue_star,0.34944,343.0,253.0,16,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,1,100.0,10,red,0.34944,343.0,253.0,16,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,0.1,1,blue,0.40112,379.0,299.0,20,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,0.2,2,orange,0.40112,379.0,299.0,20,orange/yellow,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,0.5,3,light_green,0.41685,380.0,313.0,22,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,1.0,4,lavender,0.41685,380.0,313.0,22,green,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,2.0,5,peach_orange,0.44157,376.5,335.0,18,magenta,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,5.0,6,yellow,0.44157,376.5,335.0,18,magenta,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,10.0,7,yellow_green,0.47828,378.33,367.67,19,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,20.0,8,magenta,0.47828,378.33,367.67,19,blue/purple,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,50.0,9,blue_star,0.52809,379.0,412.0,21,red/orange,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,2,100.0,10,red,0.52809,379.0,412.0,21,red/orange,5,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,0.1,1,blue,0.45843,426.0,350.0,24,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,0.2,2,orange,0.45843,426.0,350.0,24,orange/yellow,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,0.5,3,light_green,0.4809,425.0,370.0,23,magenta,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,1.0,4,lavender,0.4809,425.0,370.0,23,magenta,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,2.0,5,peach_orange,0.4809,425.0,370.0,23,magenta,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,5.0,6,yellow,0.49438,426.0,382.0,25,blue/purple,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,10.0,7,yellow_green,0.49438,426.0,382.0,25,blue/purple,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
