sample_id,source_file,actual_T1_C,pred_T1_C,abs_error_T1_C,actual_t1_s,pred_t1_s,abs_log_error_t1,actual_T2_C,pred_T2_C,abs_error_T2_C,actual_t2_s,pred_t2_s,abs_log_error_t2,target_loss,loss_flatness_ratio,posterior_contains_actual_T1,posterior_contains_actual_T2,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_T1_C,posterior_width_T2_C,posterior_width_log10_t1_s,posterior_width_log10_t2_s,posterior_confidence_T1,posterior_confidence_T2,posterior_confidence_t1,posterior_confidence_t2,overall_posterior_confidence,actual_delta_h_total_J_g,reconstructed_pred_delta_h_total_J_g,actual_peak_area_J_g,reconstructed_pred_peak_area_J_g,actual_recovery_index,reconstructed_pred_recovery_index,actual_path_dependence_index,reconstructed_pred_path_dependence_index
kovacs_80_to_90_001,pskovacs.xlsx,80.0,100.0,20.0,49.98,1800.0,1.5564762533128749,90.0,100.0,10.0,0.1002,1800.0,4.254404783572079,35.03192217653933,0.062260459651625605,True,True,True,False,45.0,50.0,1.7781512503836436,2.255272505103306,low,low,low,low,low,-6.03082219017114,-1.3392811885158933,-4.242479313244964,-0.5013106842548609,1.0,1.8062691939317927,-1.4325930697460807,-7.483648802565106
kovacs_80_to_90_002,pskovacs.xlsx,80.0,55.0,25.0,49.98,1800.0,1.5564762533128749,90.0,50.0,40.0,0.4998,30.0,1.7783250029292312,34.70545739635578,0.06099931544684872,True,True,True,False,45.0,50.0,1.7781512503836436,2.255272505103306,low,low,low,low,low,-5.941495109096195,2.0470407121014804,-4.18593288118725,1.5102156196180057,0.9851882416264025,0.7461886099893331,-1.4120074875918869,-1.3662088290542838
kovacs_80_to_90_003,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,0.7979999999999999,1800.0,3.353269613752577,23.362282567085835,1.1229642361987373,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.706723166338092,-1.2731211056735905,-4.030602175397919,-0.4762487592595228,0.946259562359299,1.7439555147182269,-8.770220891409286,-7.780028593258705
kovacs_80_to_90_004,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,1.0002,1800.0,3.255185654891657,22.0737099258179,1.18407328728865,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.497101034808605,-1.2731211056735905,-3.87630804897674,-0.4762487592595228,0.9115010957822005,1.7439555147182269,-8.560598759879799,-7.780028593258705
kovacs_80_to_90_005,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,4.998,1800.0,2.5564762533128746,21.15975744123961,1.231293141525395,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.345600288441532,-1.2731211056735905,-3.771731039066618,-0.4762487592595228,0.886380019154542,1.7439555147182269,-8.409098013512727,-7.780028593258705
kovacs_80_to_90_006,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,10.020000000000001,1800.0,2.2544047835720793,20.187615854488087,1.2862926758979498,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.182078109528685,-1.2731211056735905,-3.6645887931012138,-0.4762487592595228,0.8592656102470219,1.7439555147182269,-8.24557583459988,-7.780028593258705
kovacs_80_to_90_007,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,20.07573012967057,1.293017328502459,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.157900471128639,-1.2731211056735905,-3.661487498922019,-0.4762487592595228,0.8552565982686136,1.7439555147182269,-8.221398196199834,-7.780028593258705
kovacs_80_to_90_008,pskovacs.xlsx,80.0,100.0,20.0,49.98,1800.0,1.5564762533128749,90.0,100.0,10.0,100.02,1800.0,1.255185654891657,21.078391136909435,0.9995917992383778,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.109124034703738,-1.3392811885158933,-3.649771693981493,-0.5013106842548609,0.8471687397831826,1.8062691939317927,-6.435266047264838,-7.483648802565106
kovacs_80_to_90_009,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,499.98,1800.0,0.556319872894008,20.995236596704363,1.2368718384551614,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.184311571511276,-1.2731211056735905,-3.8595857774165823,-0.4762487592595228,0.859635951456257,1.7439555147182269,-8.39685352827353,-7.780028593258705
kovacs_80_to_90_010,pskovacs.xlsx,80.0,100.0,20.0,49.98,900.0,1.2554462576488936,90.0,100.0,10.0,1000.0200000000001,1800.0,0.25526381930052544,20.046254756442735,1.2952392018201775,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-5.177577776275932,-1.2731211056735905,-3.864882612712385,-0.4762487592595228,0.8585193880718617,1.7439555147182269,-7.942173346167882,-7.780028593258705
