sample_id,source_file,split,mode,T1_C,t1_s,T2_C,t2_s,T1_bin,t1_bin,actual_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,abs_error_delta_h_total_J_g,actual_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,abs_error_peak_area_J_g,actual_recovery_index,pred_recovery_index,error_recovery_index,abs_error_recovery_index,actual_path_dependence_index,pred_path_dependence_index,error_path_dependence_index,abs_error_path_dependence_index
onestep_70_016,PS-onestep-02.xlsx,train,single_step,70.0,10.020000000000001,nan,nan,65-75 C,10-100 s,-0.9430557223114568,-0.7479075445630158,0.19514817774844107,0.19514817774844107,-1.6504144574009996,-1.5741498906647922,0.0762645667362074,0.0762645667362074,0.7423836490862729,0.641970477459629,-0.10041317162664387,0.10041317162664387,0.0,0.027949391280469638,0.027949391280469638,0.027949391280469638
onestep_70_017,PS-onestep-02.xlsx,train,single_step,70.0,49.98,nan,nan,65-75 C,10-100 s,-0.8614175643631631,-0.7774804641141577,0.08393710024900536,0.08393710024900536,-1.5970664648854016,-1.6003659798985312,-0.003299515013129639,0.003299515013129639,0.678117209502208,0.6559612770254653,-0.022155932476742746,0.022155932476742746,0.0,0.04331738381503822,0.04331738381503822,0.04331738381503822
onestep_70_018,PS-onestep-02.xlsx,train,single_step,70.0,100.02,nan,nan,65-75 C,100-600 s,-0.9413133063059785,-0.7923140709095927,0.14899923539638582,0.14899923539638582,-1.6719487984771646,-1.6134329911148828,0.05851580736228179,0.05851580736228179,0.7410120003896266,0.6634129740085501,-0.07759902638107641,0.07759902638107641,0.0,0.04801508504953923,0.04801508504953923,0.04801508504953923
onestep_70_019,PS-onestep-02.xlsx,train,single_step,70.0,499.98,nan,nan,65-75 C,100-600 s,-1.0583285039960688,-0.8422314934064359,0.21609701058963293,0.21609701058963293,-1.7999554846708992,-1.6568706973027305,0.14308478736816865,0.14308478736816865,0.8331276277109894,0.6912914936531477,-0.14183613405784168,0.14183613405784168,0.0,0.04438219870162753,0.04438219870162753,0.04438219870162753
onestep_70_020,PS-onestep-02.xlsx,train,single_step,70.0,1000.0200000000001,nan,nan,65-75 C,>600 s,-1.270307776137273,-0.8797070454572989,0.39060073067997403,0.39060073067997403,-1.9590427440390392,-1.6891019406931747,0.26994080334586457,0.26994080334586457,1.0,0.714210573913017,-0.285789426086983,0.285789426086983,0.0,0.027854462097591237,0.027854462097591237,0.027854462097591237
single_eig_01_001,ps-single-01.xlsx,train,single_step,100.0,300.0,nan,nan,95-100 C,100-600 s,-1.1603950731139836,-1.016693980206834,0.1437010929071496,0.1437010929071496,-1.980663715585147,-1.9062204258593338,0.07444328972581316,0.07444328972581316,1.0,0.905388235831651,-0.09461176416834904,0.09461176416834904,0.0,0.02421232585456322,0.02421232585456322,0.02421232585456322
single_eig_01_002,ps-single-01.xlsx,test,single_step,90.0,300.0,nan,nan,80-90 C,100-600 s,-1.0089552870423755,-1.0962837354642956,-0.08732844842192011,0.08732844842192011,-1.8385681259459918,-1.8986155182179096,-0.0600473922719178,0.0600473922719178,1.0,0.8914634351078422,-0.1085365648921578,0.1085365648921578,0.0,-0.16564749807587548,-0.16564749807587548,0.16564749807587548
single_eig_01_003,ps-single-01.xlsx,train,single_step,100.0,30.0,nan,nan,95-100 C,10-100 s,-0.7051023368730913,-0.8308938438427166,-0.12579150696962527,0.12579150696962527,-1.588012932058568,-1.676636860554626,-0.08862392849605794,0.08862392849605794,0.6076398919730939,0.7230509344397184,0.11541104246662448,0.11541104246662448,0.0,0.027946996275789643,0.027946996275789643,0.027946996275789643
single_eig_01_004,ps-single-01.xlsx,train,single_step,100.0,100.02,nan,nan,95-100 C,100-600 s,-0.8746794374657014,-0.9298582463450722,-0.055178808879370767,0.055178808879370767,-1.788552970547513,-1.799082079618001,-0.010529109070487985,0.010529109070487985,0.7537772761465208,0.8204176925687393,0.06664041642221852,0.06664041642221852,0.0,0.02563218874910271,0.02563218874910271,0.02563218874910271
kovacs_eig_01_001,ps-kovacs-01.xlsx,train,single_step,95.0,100.02,nan,nan,95-100 C,100-600 s,-1.0929402877272407,-0.9599109824521862,0.13302930527505452,0.13302930527505452,-1.882389769508137,-1.7866105377150436,0.09577923179309344,0.09577923179309344,1.0,0.8064156376294698,-0.19358436237053023,0.19358436237053023,0.0,-0.060822030257766196,-0.060822030257766196,0.060822030257766196
