grouping,group,n,n_train,n_test,delta_h_total_J_g_MAE,delta_h_total_J_g_RMSE,delta_h_total_J_g_Bias,delta_h_total_J_g_actual_std,peak_area_J_g_MAE,peak_area_J_g_RMSE,peak_area_J_g_Bias,peak_area_J_g_actual_std,recovery_index_MAE,recovery_index_RMSE,recovery_index_Bias,recovery_index_actual_std,path_dependence_index_MAE,path_dependence_index_RMSE,path_dependence_index_Bias,path_dependence_index_actual_std
exact_condition,single_step|T1=50.0|t1=4.998|T2=nan|t2=nan,2,2,0,0.0994197175501963,0.11264961991036312,-0.05296844936552769,0.0994197175501963,0.07495367234232797,0.07506887967636058,0.004157366746251889,0.07495367234232797,0.09853122961450034,0.10273906763428677,-0.029101766424345477,0.09853122961450034,0.01905833120515099,0.01905833120515099,0.01905833120515099,0.0
exact_condition,single_step|T1=50.0|t1=49.98|T2=nan|t2=nan,2,2,0,0.17912153533969988,0.18878034459575233,-0.17912153533969988,0.05961119092284306,0.07580381135998648,0.08335541857692981,-0.07580381135998648,0.03466854466854297,0.08192877090029477,0.10100786155717921,0.08192877090029477,0.05907846134693501,0.023615899826509856,0.023615899826509856,0.023615899826509856,0.0
exact_condition,single_step|T1=50.0|t1=499.98|T2=nan|t2=nan,2,2,0,0.047139733882688994,0.05017607188368518,-0.047139733882688994,0.017189638714819044,0.07870718153125089,0.0865494899755461,-0.07870718153125089,0.03599991375592271,0.06289690755702881,0.06516323302302765,-0.06289690755702881,0.017036019422857374,0.02813675463592824,0.02813675463592824,0.02813675463592824,0.0
exact_condition,single_step|T1=70.0|t1=0.1002|T2=nan|t2=nan,2,2,0,0.1520485428787246,0.15215950838776643,0.1520485428787246,0.005810043137826848,0.07533936031577815,0.07747932583088686,0.07533936031577815,0.01808388007088313,0.047335556135139956,0.04755600770538851,-0.047335556135139956,0.004573728703365032,0.011269151139956343,0.011269151139956343,0.011269151139956343,0.0
exact_condition,single_step|T1=70.0|t1=0.4998|T2=nan|t2=nan,2,2,0,0.06626400230965163,0.0670252150191876,0.010072807268821038,0.06626400230965163,0.06507418348169769,0.07190346922622337,-0.03058528291444751,0.06507418348169769,0.06314947867141127,0.08190794981503519,0.06314947867141127,0.052163738232907514,0.014425900622014612,0.014425900622014612,0.014425900622014612,0.0
exact_condition,single_step|T1=70.0|t1=0.7979999999999999|T2=nan|t2=nan,2,2,0,0.1507482306555708,0.17557538869068556,0.09000937766755274,0.1507482306555708,0.12200075313765646,0.1243041553018982,0.023818884507109783,0.12200075313765646,0.11867063516997672,0.1186707305243662,-0.00015043783109330855,0.11867063516997672,0.015338280133642093,0.015338280133642093,0.015338280133642093,0.0
exact_condition,single_step|T1=70.0|t1=1.0002|T2=nan|t2=nan,2,2,0,0.22187648333245696,0.22188790309725018,0.0022511519088314613,0.22187648333245696,0.1640008718510778,0.16698788883355328,-0.03144310813474871,0.1640008718510778,0.17466356382319773,0.18770835739817351,0.06875366833631627,0.17466356382319773,0.0157771092127984,0.0157771092127984,0.0157771092127984,0.0
exact_condition,single_step|T1=70.0|t1=10.020000000000001|T2=nan|t2=nan,2,2,0,0.1193253528875548,0.13580441317906733,0.06484056444210945,0.1193253528875548,0.05548612678100395,0.05887971568741224,0.019700524213148607,0.05548612678100395,0.09393420644121148,0.09557607222972389,0.017639456996213443,0.09393420644121148,0.02015528876921563,0.02015528876921563,0.02015528876921563,0.0
exact_condition,single_step|T1=70.0|t1=100.02|T2=nan|t2=nan,2,2,0,0.06405448653501145,0.08562859319814196,0.06405448653501145,0.05682674306898927,0.043847869590236455,0.044273403403270725,0.006123608520011814,0.043847869590236455,0.0447346258414531,0.04764429554954631,0.016394881800053163,0.0447346258414531,0.024098497292616677,0.024098497292616677,0.024098497292616677,0.0
exact_condition,single_step|T1=70.0|t1=1000.0200000000001|T2=nan|t2=nan,2,2,0,0.31174469877897093,0.3200415368695593,0.31174469877897093,0.07240047033713348,0.23614497274806945,0.24088586442135054,0.23614497274806945,0.047555772770872085,0.1805253399508137,0.1893086465502948,-0.1805253399508137,0.056994432134618134,0.02672699040940317,0.02672699040940317,0.02672699040940317,0.0
exact_condition,single_step|T1=70.0|t1=300.0|T2=nan|t2=nan,1,1,0,0.1138338057976449,0.1138338057976449,-0.1138338057976449,0.0,0.0621480140286399,0.0621480140286399,-0.0621480140286399,0.0,0.15552112801047446,0.15552112801047446,0.15552112801047446,0.0,0.025615214432353012,0.025615214432353012,0.025615214432353012,0.0
exact_condition,single_step|T1=70.0|t1=4.998|T2=nan|t2=nan,2,2,0,0.09839915333125998,0.13414218825481397,0.09116870786339543,0.09839915333125998,0.05132722774121201,0.05900925324950097,0.02911370229746635,0.05132722774121201,0.07746087615905978,0.07750213769164217,-0.002528638259037319,0.07746087615905978,0.01885927043588438,0.01885927043588438,0.01885927043588438,0.0
exact_condition,single_step|T1=70.0|t1=49.98|T2=nan|t2=nan,2,2,0,0.0488073834924459,0.05002805250410241,0.0488073834924459,0.010983867896808774,0.02181722314722212,0.024615262737823274,-0.02181722314722212,0.011398242574905404,0.02896369989554093,0.030226808286242676,0.02896369989554093,0.008646619428095081,0.022988714885674194,0.022988714885674194,0.022988714885674194,0.0
exact_condition,single_step|T1=70.0|t1=499.98|T2=nan|t2=nan,2,2,0,0.1530361797506109,0.15809564562743048,0.1530361797506109,0.03967569600766685,0.1039820675439872,0.11067332749153076,0.1039820675439872,0.03789874730548892,0.05499247783879896,0.0632430346088781,-0.05499247783879896,0.03123313637291264,0.0261758554847262,0.0261758554847262,0.0261758554847262,0.0
exact_condition,single_step|T1=90.0|t1=100.0002|T2=nan|t2=nan,1,1,0,0.14660305197561652,0.14660305197561652,-0.14660305197561652,0.0,0.06728549510604576,0.06728549510604576,-0.06728549510604576,0.0,0.03520634443553072,0.03520634443553072,0.03520634443553072,0.0,0.01026827359702917,0.01026827359702917,0.01026827359702917,0.0
exact_condition,single_step|T1=90.0|t1=300.0|T2=nan|t2=nan,1,0,1,0.08958512460958667,0.08958512460958667,0.08958512460958667,0.0,0.08381413188014641,0.08381413188014641,0.08381413188014641,0.0,0.21152563141888092,0.21152563141888092,-0.21152563141888092,0.0,0.003872087761802756,0.003872087761802756,0.003872087761802756,0.0
exact_condition,single_step|T1=95.0|t1=100.02|T2=nan|t2=nan,2,2,0,0.17152033359023344,0.17305273965334667,0.022978813429418432,0.17152033359023344,0.1217038581266795,0.12260395443118659,0.014829044448161466,0.1217038581266795,0.15693477083446927,0.17197000291444842,-0.07032182879823312,0.15693477083446927,0.0006968161296291159,0.0006968161296291159,-0.0006968161296291159,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=100.0|t2=10.000020000000001,1,1,0,0.11617549331715749,0.11617549331715749,0.11617549331715749,0.0,0.09316402437979221,0.09316402437979221,0.09316402437979221,0.0,0.04993579928429115,0.04993579928429115,-0.04993579928429115,0.0,0.17444881206279073,0.17444881206279073,0.17444881206279073,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=100.0|t2=1800.0,1,1,0,0.21826775599867798,0.21826775599867798,-0.21826775599867798,0.0,0.1452358127136646,0.1452358127136646,-0.1452358127136646,0.0,0.25586321864812833,0.25586321864812833,0.25586321864812833,0.0,0.19359782354052107,0.19359782354052107,-0.19359782354052107,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=65.0|t2=1200.0,1,1,0,0.1699504373423515,0.1699504373423515,-0.1699504373423515,0.0,0.14547612670782217,0.14547612670782217,-0.14547612670782217,0.0,0.11677873400314243,0.11677873400314243,0.11677873400314243,0.0,0.26660642456385986,0.26660642456385986,-0.26660642456385986,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=70.0|t2=1800.0,1,1,0,0.005130118436477593,0.005130118436477593,-0.005130118436477593,0.0,0.030085421725718042,0.030085421725718042,0.030085421725718042,0.0,0.006255613137538973,0.006255613137538973,0.006255613137538973,0.0,0.05460513546718973,0.05460513546718973,-0.05460513546718973,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=70.0|t2=300.0,1,0,1,0.2707249375425105,0.2707249375425105,-0.2707249375425105,0.0,0.20359120016764787,0.20359120016764787,-0.20359120016764787,0.0,0.17441232280071506,0.17441232280071506,0.17441232280071506,0.0,0.06585885557521656,0.06585885557521656,-0.06585885557521656,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=75.0|t2=10.000020000000001,1,1,0,0.055759651240223085,0.055759651240223085,0.055759651240223085,0.0,0.02918386851912036,0.02918386851912036,-0.02918386851912036,0.0,0.10086988413784354,0.10086988413784354,-0.10086988413784354,0.0,0.06386948521053287,0.06386948521053287,0.06386948521053287,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=80.0|t2=1800.0,1,1,0,0.14733794951087642,0.14733794951087642,0.14733794951087642,0.0,0.13347778569180324,0.13347778569180324,0.13347778569180324,0.0,0.08710623100496617,0.08710623100496617,-0.08710623100496617,0.0,0.13400132365350448,0.13400132365350448,0.13400132365350448,0.0
exact_condition,two_step|T1=50.0|t1=10.000020000000001|T2=85.0|t2=60.0,1,1,0,0.10482833633381183,0.10482833633381183,-0.10482833633381183,0.0,0.07021815869250081,0.07021815869250081,-0.07021815869250081,0.0,0.066808169692115,0.066808169692115,0.066808169692115,0.0,0.033886364089856125,0.033886364089856125,0.033886364089856125,0.0
exact_condition,two_step|T1=50.0|t1=100.0002|T2=70.0|t2=60.0,1,0,1,0.08980015480063563,0.08980015480063563,0.08980015480063563,0.0,0.0206815499504327,0.0206815499504327,0.0206815499504327,0.0,0.14148141586701524,0.14148141586701524,-0.14148141586701524,0.0,0.005150253893459272,0.005150253893459272,-0.005150253893459272,0.0
