T1_C,T2_C,actual_t1_s,actual_t2_s,loss,mean_uncertainty,pred_t2_s,source,t1_group,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,top3_near_factor3,top5_near_factor3,variant
90.0,80.0,499.98,0.4998,0.23110183227115666,0.09844438755875491,0.4998,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,0.7979999999999999,0.2816415225094069,0.049387224161744195,0.1002,ps_80_90,500s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,499.98,1.0002,0.25700433606875456,0.43186052225471405,4.998,ps_80_90,500s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,499.98,4.998,0.2674740999838086,0.4962354692958965,4.998,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,10.020000000000001,0.21338237806151494,0.797296218191472,10.020000000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,49.98,0.32699455186264687,0.7290644077627494,10.020000000000001,ps_80_90,500s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,499.98,100.02,0.1906951279786479,2.1848960657650114,100.02,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,499.98,0.2121912657220196,2.7335539625410528,499.98,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,499.98,1000.0200000000001,1.5515003255625561,1.225489045434903,1000.0200000000001,ps_80_90,500s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,49.98,0.1002,0.04392356528724736,0.13059072553110324,0.7979999999999999,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,False,True,heating_curve_full
90.0,80.0,49.98,0.4998,0.1670654078856966,0.10582557471626841,0.1002,ps_80_90,50s,4.9880239520958085,0.6979285302592043,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,49.98,0.7979999999999999,0.2821562873568789,0.10463507709191044,0.1002,ps_80_90,50s,7.964071856287425,0.9011351698195025,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,49.98,1.0002,0.30239614606673,0.2226364129383523,4.998,ps_80_90,50s,4.997000599880025,0.6987094015787824,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,49.98,4.998,0.34699586121367,0.35335896314758375,10.020000000000001,ps_80_90,50s,2.0048019207683074,0.30207146974079574,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,49.98,10.020000000000001,0.07504660844048922,0.14569351833996305,1.0002,ps_80_90,50s,10.017996400719857,1.000780871319578,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,False,True,heating_curve_full
90.0,80.0,49.98,49.98,0.2201992490565762,0.32337460363924964,10.020000000000001,ps_80_90,50s,4.988023952095808,0.6979285302592042,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",False,True,True,heating_curve_full
90.0,80.0,49.98,100.02,0.16125128558805524,0.7719085132459254,49.98,ps_80_90,50s,2.001200480192077,0.30129059842121775,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,49.98,499.98,0.3584445478550621,1.323553688519944,499.98,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
90.0,80.0,49.98,1000.0200000000001,1.5564553905998566,0.4194258572440159,1000.0200000000001,ps_80_90,50s,1.0,0.0,"delta_h_total_J_g,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,recovery_index",True,True,True,heating_curve_full
