T1_K,T2_K,actual_t1_s,actual_t2_s,loss,panel,pred_t2_s,source,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,variant
348.0,383.0,2.0,5.0,0.41291662739043417,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,5.0,0.40995242073654486,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,5.0,0.3893997541258066,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,5.0,0.37673366542565284,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,5.0,0.3639074413286764,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,5.0,0.3569132700771855,a,2.0,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,10.0,0.22824243433038918,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,10.0,0.22792298228375146,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,10.0,0.22903895790164336,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,10.0,0.23111169069868295,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,10.0,0.23525316971522292,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,10.0,0.1683619565740811,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,10.0,0.17071994792844103,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,10.0,0.16684292397460052,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,10.0,0.16585336609850843,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,10.0,0.16920974951514806,a,5.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,20.0,0.14398051111200189,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,20.0,0.14408306556548714,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,20.0,0.14512227994732757,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,20.0,0.11925954089050321,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,20.0,0.12161914813393532,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,20.0,0.12145945509219017,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,20.0,0.12250075042407073,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,20.0,0.2125018743414546,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,20.0,0.2042841645460436,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,20.0,0.2033406971847036,a,10.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,50.0,0.16811049252274113,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,50.0,0.16800024982947612,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,50.0,0.1686836594404452,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,50.0,0.16976117944917526,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,50.0,0.17127732539698892,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
