mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_paper_delta_h_J_g,pred_paper_delta_h_J_g,uncertainty_paper_delta_h_J_g,eig_paper_delta_h_peak_J_g,pred_paper_delta_h_peak_J_g,uncertainty_paper_delta_h_peak_J_g,eig_paper_s_star_eff_J_mol_K,pred_paper_s_star_eff_J_mol_K,uncertainty_paper_s_star_eff_J_mol_K,eig_paper_h_star_eff_kJ_mol,pred_paper_h_star_eff_kJ_mol,uncertainty_paper_h_star_eff_kJ_mol
two_step,100,900,100,60,960,61,2.0781161395517715,2.3240245622079496,2.049236855468152,0.549298377667111,0.9451382707844008,0.30699693663221184,0.5446301543569871,1.829317130779132,0.23405133262055902,0.6160154822685587,-597.7307439624068,295.2549936911216,0.6142190271410327,-108.384861923958,111.5244429490925
two_step,100,60,100,1800,1860,62,2.0778579441851712,2.322936858868773,2.0423242890300153,0.5941673247106166,0.9352026527426482,0.3279026780438749,0.5968416073795025,1.8225067741744878,0.25271952368230954,0.5550641904574293,-608.5708797753776,270.2786111296647,0.5534970746613858,-112.49467029403029,102.11062776830087
two_step,100,1800,100,10,1810,63,2.0666323144579604,2.3212879138545945,2.12212999497195,0.531454596790725,0.9627647834476682,0.29881577826485783,0.5255062906159897,1.842719989514205,0.22733675141569723,0.6319798631459956,-589.5181407276779,301.94141230383303,0.6301094206680617,-105.27061995134726,114.04198321945107
two_step,100,1200,100,30,1230,64,2.0725042453702254,2.321165109187723,2.0721738651458135,0.5423218788415095,0.9525561267658837,0.3037898234218203,0.537131101574952,1.8349587487693195,0.23141100561558814,0.6215691572361018,-594.0614275274714,297.57384168055034,0.6197449239561028,-106.99385963265674,112.39722453240825
two_step,95,100,95,60,160,65,2.108278641133179,2.318273942362606,1.7499608435785596,0.5696191655283195,0.8626961390848781,0.31640329219308466,0.5675557962828278,1.7661187320316851,0.24218492035233488,0.6077983695192591,-640.0044018216174,291.83790985987844,0.6060812296332806,-124.39890558336374,110.24425400394865
two_step,95,60,95,100,160,66,2.1097390355411756,2.317621141076481,1.7323508794608793,0.5743772506629855,0.855486038297023,0.318620230298294,0.5734014221374433,1.7606893412847924,0.244274347677734,0.6020741515955895,-645.0598915180153,289.4670921709268,0.6003763018303439,-126.31374400001842,109.35036903983247
two_step,95,300,95,10,310,67,2.099917270874831,2.309820774101888,1.7491958602254745,0.5572467512354126,0.89367896106479,0.3106644947629604,0.5533273490617008,1.789681945369508,0.23712577396268697,0.6192235531080597,-622.1274624499981,296.5935428997435,0.6174554101140874,-117.62642022471037,112.0352648642786
two_step,100,300,100,600,900,68,2.0584448507849564,2.303251844302562,2.04005827931338,0.5715866988874282,0.9354761109647733,0.31731934556145847,0.5696982368015918,1.8221317007112192,0.2429499505950128,0.5740485879584598,-602.4386047556956,277.96914029934845,0.5724013059114605,-110.17338247139253,105.00817018422525
two_step,100,900,100,100,1000,69,2.052089015679697,2.297771598334833,2.0473548554594636,0.5510231368454727,0.94784619190113,0.307791529630189,0.5465460289576058,1.8313769222250655,0.23472744678797122,0.5974480509190074,-594.5859818424544,287.55674863347434,0.5957017614267653,-107.19669193489881,108.62009488504974
two_step,95,10,95,600,610,70,2.0779947818915523,2.297321577298988,1.827723295061962,0.60227274861293,0.8716107284913661,0.33173411023960564,0.6069590654780952,1.7738191564674595,0.25639905671119045,0.5437281315777148,-641.251165123447,265.7219331900064,0.5422255781729439,-124.87327449722382,100.39623506754725
