mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,55,900,60,900,1800,22,1.7525730870046183,2.137037547390005,3.203870503211558,0.7032303349983636,-1.1343738607263814,0.351083129227307,0.8651037392232812,-1.9484873642940184,0.2800836150381429,0.003200716532256942,104.71620942883376,0.40068585036264326,0.285619968635615,-194.23554209299584,43.8879525474947,0.36892171166359666,0.7464638833466208,0.22545325413898215,0.42586556104691153,-0.234224370394297,0.231836198555333
two_step,55,900,60,1200,2100,23,1.7447562549085405,2.134801170315999,3.2503742950621564,0.6881757261280553,-1.1355322485572796,0.3441177376265525,0.853350540005888,-1.9509175486568644,0.27610090110706026,0.003152611118268927,104.72855799815417,0.3976538065460807,0.3042626324781592,-193.04593787186323,45.763502118063535,0.3676739431447572,0.7513926857296654,0.22491421845296103,0.43186972930788814,-0.2357675427257785,0.23426601790491436
two_step,100,100,50,100,200,24,1.535416566144766,2.133661037186589,4.98537059201519,0.5996897188741925,-0.9659279469923969,0.30450334793926376,0.7778490757798843,-1.828764513754869,0.25135403306468623,0.003503846103656165,104.94718338005868,0.4192941550482365,0.22179405155873433,-178.79539939396787,37.35935288652548,0.33237540396946275,0.6757989202972052,0.20967558867974762,0.37504702664836587,-0.07739092479738778,0.2113952825213682
two_step,50,1200,50,900,2100,25,1.6279747964328717,2.133586255847061,4.213428828451581,0.6288542009245361,-1.1095470833011238,0.3173232980841442,0.8010429739163192,-1.9165416534640483,0.25880694943511706,0.002849315614830555,104.72775728661566,0.37798476542937026,0.2933732998378281,-183.3335817540995,44.66902886276575,0.34549914009379207,0.7669318172039458,0.21534075247386206,0.4033719315251954,-0.18135641957512832,0.22276448497364085
two_step,50,1200,55,1800,3000,26,1.6719405039129513,2.1324622341944313,3.837681085678999,0.6402046332776351,-1.1188296894405343,0.3223732005721563,0.8195792040689919,-1.9216897362018432,0.26485670489589513,0.0029876027938868957,104.68715654667423,0.38707533948188483,0.3132234128368248,-183.3845480741306,46.66237617169142,0.3479386412642104,0.7638744500242515,0.2163936641989459,0.4273860825719368,-0.19959927500024927,0.23245117479204008
two_step,55,600,65,900,1500,27,1.780558070881484,2.131899586398074,2.9278459626382474,0.698018809814024,-1.0886316706999652,0.3486639364394127,0.8661513621671435,-1.9088619393997408,0.2804403963490992,0.003950798005193977,104.71823903004695,0.44533403209849365,0.3081558958621393,-186.2613748056962,46.15421313154265,0.3840153442502318,0.7252290648932211,0.2319790103869798,0.43635957618689736,-0.21262164700769837,0.23608558278722158
two_step,55,900,60,600,1500,28,1.741967256687826,2.131559894280182,3.2466053132696344,0.6836525831601724,-1.1112493788347095,0.34203858592615527,0.8462141095483151,-1.9316821647922269,0.2737003705776657,0.0032140361819065657,104.75669055380328,0.40152138051153974,0.305470466889545,-189.21808801414542,45.884745227234255,0.3704883936777604,0.738084232479879,0.22613014050914199,0.434056955612688,-0.22151606214031386,0.23515213548725097
two_step,100,300,50,300,600,29,1.5366696088883605,2.1311858728082593,4.954302199332491,0.6048398308686534,-1.0844168765505002,0.30675140261421385,0.7915736779664772,-1.9252916298751728,0.2557486982334266,0.0033659873572362813,104.78312143519511,0.41093446528044286,0.2308191991379428,-193.1903209601316,38.297240642950385,0.32545383359940394,0.7580772444867561,0.20668621780242766,0.3631053622667445,-0.16021949245964143,0.20661388476791687
two_step,50,1800,55,1200,3000,30,1.6681454598659253,2.1293766424376006,3.8435931880972927,0.6413990013210922,-1.1389308614946991,0.32290662581524643,0.8220915187868916,-1.9412872890066524,0.2656832026511665,0.003066313876126868,104.68118605127285,0.392156563546179,0.31435336342784226,-187.49872417987908,46.77563162197537,0.3438383657801498,0.772483962341641,0.2146239417941429,0.42313080902806266,-0.22259969158545795,0.23073072503615438
two_step,55,900,55,900,1800,31,1.6920556417038726,2.128887149226753,3.6402625626906704,0.6740091400569027,-1.1292287280316646,0.3376263475073872,0.8330745724888673,-1.9510978861526511,0.2693150341256467,0.0031222238399797645,104.74586387811718,0.3957267014165836,0.2701753685643759,-194.76675135261488,42.326375791743864,0.35878528599045256,0.7529079387990139,0.22107568748813985,0.418418812804223,-0.21296699411581005,0.22882773673800383
