sample_id,source_file,pair,T1_C,T2_C,actual_t1_s,actual_t2_s,pred_t1_s,pred_t2_s,abs_log_error_t1,abs_log_error_t2,t1_factor_error,t2_factor_error,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_log10_t1,posterior_width_log10_t2,posterior_n_valid_candidates,loss_flatness_ratio,best_loss,target_delta_h_total_J_g,best_pred_delta_h_total_J_g,best_error_delta_h_total_J_g,target_peak_area_J_g,best_pred_peak_area_J_g,best_error_peak_area_J_g,target_recovery_index,best_pred_recovery_index,best_error_recovery_index,target_path_dependence_index,best_pred_path_dependence_index,best_error_path_dependence_index
kovacs_eig_03_002,ps-kovacs-03.xlsx,50->75,50.0,75.0,10.000020000000001,10.000020000000001,30.0,30.0,0.47712038613156715,0.47712038613156715,2.999994000012,2.999994000012,True,True,True,False,True,0.5229569104708218,1.0492346237722554,23,0.5573913754171468,0.17382131091038033,-0.7054400065972599,-0.7112025276956987,-0.005762521098438778,-1.5364627714938504,-1.5697407846752727,-0.03327801318142232,0.5227557009355246,0.5038620850510884,-0.018893615884436166,-0.0010349900609126772,-0.024810693893888493,-0.023775703832975816
kovacs_eig_03_003,ps-kovacs-03.xlsx,65->65,65.0,65.0,10.000020000000001,1800.0,0.1002,4.998,1.9991331470568683,2.5564762533128746,99.80059880239523,360.1440576230492,False,True,True,False,False,1.6280575901013252,2.979120456111699,23,1.7925395587189004,0.3714993968729402,-1.2282772065476173,-1.151356518860593,0.07692068768702431,-1.9072257866189468,-1.8826047303557105,0.024621056263236296,0.9712188499356239,1.0031846592404776,0.03196580930485371,-0.10277037108461129,-0.041105125694985964,0.061665245389625326
kovacs_eig_03_004,ps-kovacs-03.xlsx,85->100,85.0,100.0,10.000020000000001,1200.0,10.02,1000.02,0.0008668529431317129,0.07917256024484454,1.0019979960040077,1.1999760004799904,True,True,True,True,True,1.3020714697407958,1.255272505103306,23,1.7426660542204342,0.14922417286763381,-1.134523977976264,-1.1395943583164614,-0.005070380340197467,-1.9859282590715772,-1.9888835857914613,-0.002955326719884077,1.0,0.9563618714248504,-0.04363812857514959,0.02587109513771968,-0.0032433086426060104,-0.02911440378032569
kovacs_eig_04_001,ps-kovacs-04.xlsx,75->100,75.0,100.0,10.000020000000001,10.000020000000001,60.0,30.0,0.7781503817955484,0.47712038613156715,5.999988000024,2.999994000012,False,False,False,True,True,2.301281913400053,2.0,23,1.872326569242542,0.15608693376862745,-0.9057661155393337,-0.9158077106653231,-0.010041595125989344,-1.7311784953547902,-1.7217220707628402,0.009456424591949952,0.8619113800231732,0.8335019234709251,-0.028409456552248136,-0.2006637786662424,-0.16785060131023116,0.03281317735601125
kovacs_eig_04_002,ps-kovacs-04.xlsx,50->70,50.0,70.0,100.0002,60.0,30.0,600.0,0.5228796138684328,0.9999999999999998,3.33334,10.0,False,False,False,False,True,0.969879625179043,4.070396268491913,23,0.4066668233577685,0.25166877586012093,-0.7669461678755922,-0.7477068569033367,0.019239310972255508,-1.6111502049293611,-1.64158564137945,-0.03043543645008895,0.5683339161632076,0.5070674791018396,-0.06126643706136803,0.07250366069395331,0.052629770448100834,-0.019873890245852475
kovacs_eig_04_003,ps-kovacs-04.xlsx,65->85,65.0,85.0,10.000020000000001,600.0,1000.02,900.0,2.000007817214685,0.17609125905568135,100.0017999964,1.5,False,False,False,True,True,4.2367956576665105,2.2376633791977376,23,1.0088332073579231,0.3224147641890084,-1.2646760373617463,-1.2513346223820294,0.013341414979716859,-1.984249498035962,-1.9818613589252048,0.0023881391107571925,1.0,0.8932506865741016,-0.10674931342589844,-0.2557207503193708,-0.31154148747269395,-0.05582073715332314
kovacs_eig_04_004,ps-kovacs-04.xlsx,50->70,50.0,70.0,10.000020000000001,300.0,10.02,100.0,0.0008668529431317129,0.4771212547196626,1.0019979960040077,3.0,True,True,True,True,True,0.7482046281082743,1.15194479928987,23,3.1604214758848044,0.06635587989871802,-0.7373120583218562,-0.7377412909102602,-0.0004292325884039938,-1.6103018579761605,-1.619240905050457,-0.008939047074296491,0.5463740052331666,0.5266134787142858,-0.019760526518880828,-0.00018221590335865123,0.0047899426730423494,0.004972158576401001
hs_02_001,ps-hs-02.xlsx,50->80,50.0,80.0,10.000020000000001,1800.0,4.998,1000.02,0.30120461679766397,0.2552638193005259,2.0008043217286917,1.7999640007199855,True,True,True,True,True,1.7306996496103868,1.255263820082141,23,6.892640200652691,0.07523967849698449,-1.2485008665932285,-1.2428995263258464,0.005601340267382016,-1.985984305698704,-1.9880742080621903,-0.0020899023634861624,0.9251827788768453,0.9355669846437485,0.010384205766903243,-0.12299403113022245,-0.1438127571451634,-0.020818726014940947
hs_02_002,ps-hs-02.xlsx,50->100,50.0,100.0,10.000020000000001,1800.0,4.998,1000.02,0.30120461679766397,0.2552638193005259,2.0008043217286917,1.7999640007199855,True,True,True,True,True,1.0988648301804975,1.255263820082141,23,3.338737174886292,0.14469720113400125,-1.010656848045086,-0.9900538122505271,0.0206030357945588,-1.8610288613138048,-1.8420071004112566,0.019021760902548257,0.7489320481744691,0.7864592452222857,0.037527197047816596,0.14973822506889767,0.1496138678815353,-0.00012435718736236723
hs_02_003,ps-hs-02.xlsx,65->100,65.0,100.0,10.000020000000001,1200.0,1000.02,1200.0,2.000007817214685,0.0,100.0017999964,1.0,False,False,False,True,True,2.3685091102204665,1.2552594775715584,24,0.5198883695615529,0.40125313586318057,-0.7818767824112554,-0.7782503405073072,0.003626441903948119,-1.7071930268539535,-1.6760108949457588,0.031182131908194632,0.6182427430524711,0.5733638555654099,-0.04487888748706115,0.37851829070272824,0.2621396072910425,-0.11637868341168572
kovacs_80_to_90_001,pskovacs.xlsx,80->90,80.0,90.0,49.98,0.1002,49.98,0.1002,0.0,0.0,1.0,1.0,True,True,True,True,True,0.5229655954919867,0.999219128680422,23,3.355935282719619,0.1952243197033801,-0.43107793286096485,-0.45078354958286215,-0.0197056167218973,-1.4669738389378029,-1.468602638911507,-0.0016287999737041314,0.27370844782473325,0.2701305476311441,-0.0035779001935891674,0.36561557880027207,0.29248927884348375,-0.07312629995678832
kovacs_80_to_90_002,pskovacs.xlsx,80->90,80.0,90.0,49.98,0.4998,60.0,1.0002,0.07935499859321249,0.3012905984212177,1.2004801920768309,2.0012004801920766,True,True,True,True,True,0.9999566919819651,1.5931221200223855,24,1.8007110101331556,0.18670830451817433,-0.5004594241511179,-0.5043961820636378,-0.003936757912519906,-1.459166987230859,-1.4890170681065673,-0.029850080875708285,0.3177615037600227,0.3254707274240495,0.007709223664026765,0.12390359991353961,0.168386703770176,0.0444831038566364
kovacs_80_to_90_003,pskovacs.xlsx,80->90,80.0,90.0,49.98,0.7979999999999999,100.0,0.798,0.30120374820956886,5.551115123125783e-17,2.0008003201280515,1.0000000000000002,True,True,True,True,True,0.5229655954919867,0.999219128680422,23,2.849699703771041,0.10325822693466043,-0.47254776430390805,-0.49834612688205093,-0.025798362578142886,-1.4915875845343378,-1.4984471689669565,-0.006859584432618693,0.30003928577895117,0.3090484995013561,0.00900921372240493,0.15943562997934274,0.17292201654839906,0.013486386569056319
kovacs_80_to_90_004,pskovacs.xlsx,80->90,80.0,90.0,49.98,1.0002,100.0,1.0002,0.30120374820956886,0.0,2.0008003201280515,1.0,True,True,True,True,True,1.0000000780585263,0.999219128680422,23,1.5763972462499942,0.13075715272890157,-0.505291845320093,-0.5053514387050262,-5.959338493322086e-05,-1.5075823210034065,-1.501275220802814,0.0063071002005925525,0.32082979929678856,0.31589088425649897,-0.004938915040289593,0.21204237778522605,0.1608462714562426,-0.05119610632898344
