sample_id,pair,actual_t1_s,actual_t2_s,mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,rank,loss,target_loss,target_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,target_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,target_recovery_index,pred_recovery_index,error_recovery_index,target_path_dependence_index,pred_path_dependence_index,error_path_dependence_index
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,10,1800,1810,1,0.19179785691369275,0.19179785691369275,-1.3494640141366285,-1.3411058477177207,0.008358166418907853,-2.0965362600141484,-2.077338343475525,0.01919791653862335,1.0,0.9568503015264516,-0.04314969847354844,-0.22395717867362253,-0.19613799911536306,0.027819179558259466
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,10,1800,1810,2,0.19179785691369275,0.19179785691369275,-1.3494640141366285,-1.3411058477177207,0.008358166418907853,-2.0965362600141484,-2.077338343475525,0.01919791653862335,1.0,0.9568503015264516,-0.04314969847354844,-0.22395717867362253,-0.19613799911536306,0.027819179558259466
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,10.02,1800,1810.02,3,0.19328684435991156,0.19328684435991156,-1.3494640141366285,-1.3408244912992684,0.008639522837360136,-2.0965362600141484,-2.0771877439981687,0.019348516015979644,1.0,0.9565148812898443,-0.0434851187101557,-0.22395717867362253,-0.19609742583805323,0.027859752835569296
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,4.998,1800,1805,4,0.38893476566405544,0.38893476566405544,-1.3494640141366285,-1.4401879518968572,-0.09072393776022869,-2.0965362600141484,-2.130149519859442,-0.03361325984529362,1.0,1.0753775233849032,0.07537752338490322,-0.22395717867362253,-0.2104855718853338,0.013471606788288737
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,4.998,1200,1205,5,0.4278127957855138,0.4278127957855138,-1.3494640141366285,-1.2979216880107831,0.05154232612584542,-2.0965362600141484,-2.028310508452541,0.0682257515616076,1.0,0.9748753837348958,-0.025124616265104205,-0.22395717867362253,-0.16181149248326473,0.06214568619035779
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,1.0002,600,601,6,0.5833626213552049,0.5833626213552049,-1.3494640141366285,-1.3458258351659995,0.0036381789706290135,-2.0965362600141484,-2.015267300334083,0.08126895968006531,1.0,1.1192545824789208,0.11925458247892085,-0.22395717867362253,-0.13978008119884247,0.08417709747478005
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,1.0002,900,901,7,0.6174012244241129,0.6174012244241129,-1.3494640141366285,-1.446726326480529,-0.09726231234390048,-2.0965362600141484,-2.0899757534816934,0.0065605065324549905,1.0,1.194492138566328,0.19449213856632808,-0.22395717867362253,-0.16888075951717718,0.055076419156445344
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,0.798,600,600.798,8,0.6389616830429556,0.6389616830429556,-1.3494640141366285,-1.3789487132056177,-0.029484699068989206,-2.0965362600141484,-2.032774556266198,0.06376170374795054,1.0,1.1591255675555447,0.15912556755554474,-0.22395717867362253,-0.14465782861017165,0.07929935006345087
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,0.798,499.98,500.778,9,0.6486664674167059,0.6486664674167059,-1.3494640141366285,-1.3399186478563836,0.009545366280244938,-2.0965362600141484,-2.003749125901016,0.09278713411313255,1.0,1.1290225921658135,0.12902259216581347,-0.22395717867362253,-0.13479620200620954,0.08916097666741299
kovacs_eig_01_003,50->80,10.000020000000001,1800.0,two_step,50,80,1.0002,499.98,500.98,10,0.691330258038465,0.691330258038465,-1.3494640141366285,-1.306847953088899,0.042616061047729525,-2.0965362600141484,-1.9862648672725125,0.11027139274163589,1.0,1.0892230909829614,0.08922309098296144,-0.22395717867362253,-0.1299156477296752,0.09404153094394732
