group_key,mode,time_axis,time_s,actual_delta_h_total_J_g,pred_delta_h_total_J_g,error_J_g
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,0.4998,-5.941495109096195,-5.8029609099780695,0.13853419911812548
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,0.7979999999999999,-5.706723166338092,-5.698018360352152,0.008704805985940034
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,1.0002,-5.497101034808605,-5.644077239380753,-0.1469762045721481
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,4.998,-5.345600288441532,-5.284764141966582,0.0608361464749505
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,10.020000000000001,-5.182078109528685,-5.200044731961016,-0.017966622432330936
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,49.98,-5.157900471128639,-5.1599912287075,-0.0020907575788609023
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,100.02,-5.109124034703738,-5.159809618758254,-0.05068558405451551
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,499.98,-5.184311571511276,-5.159807572382288,0.024503999128987708
two_step|T1=80|t1=49.98|T2=90,two_step,t2_s,1000.0200000000001,-5.177577776275932,-5.159807572382287,0.017770203893644698
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,0.1002,-4.8964971036279055,-4.807641373954689,0.08885572967321664
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,0.4998,-4.8113783478052925,-4.8077388669768455,0.003639480828447006
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,0.7979999999999999,-4.789426096507734,-4.807808569351327,-0.018382472843592623
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,1.0002,-4.818863245675767,-4.807855045666333,0.011008200009434255
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,4.998,-4.8107870486415205,-4.8087232883606745,0.002063760280845983
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,10.020000000000001,-4.787801117159873,-4.809759297043059,-0.02195817988318627
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,49.98,-4.772259396579583,-4.817408957517297,-0.045149560937713495
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,100.02,-4.796094411763101,-4.82636829600038,-0.03027388423727917
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,499.98,-4.894800641933696,-4.888261538120735,0.006539103812960967
two_step|T1=80|t1=499.98|T2=90,two_step,t2_s,1000.0200000000001,-4.954935053320618,-4.951277230023741,0.0036578232968773605
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,0.1002,-4.1290900364236975,-4.1435315917869495,-0.014441555363251979
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,0.4998,-4.099453333050906,-4.0503264781777935,0.04912685487311297
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,0.7979999999999999,-4.0235137471319,-4.001741011119112,0.021772736012787952
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,1.0002,-3.904258944764556,-3.974526812049133,-0.0702678672845769
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,4.998,-3.8132686006701726,-3.7704268066647844,0.042841794005388234
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,10.020000000000001,-3.6792346684639896,-3.731545841056178,-0.05231117259218854
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,49.98,-3.67406305383032,-3.723563138874906,-0.04950008504458614
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,100.02,-3.63166557753634,-3.7235630307198475,-0.0918974531835075
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,499.98,-3.7678117838667586,-3.723563030719027,0.0442487531477318
two_step|T1=90|t1=49.98|T2=80,two_step,t2_s,1000.0200000000001,-3.843991026148135,-3.723563030719027,0.12042799542910831
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,0.1002,-3.7281025362637803,-3.694229437939341,0.03387309832443908
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,0.4998,-3.7063905603652305,-3.6944089260587023,0.01198163430652821
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,0.7979999999999999,-3.6974166934280386,-3.6945371588887963,0.002879534539242279
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,1.0002,-3.687878663347416,-3.694622619804037,-0.006743956456620737
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,4.998,-3.6776641365316403,-3.696212915111309,-0.018548778579668745
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,10.020000000000001,-3.675101530587496,-3.6980950737150833,-0.02299354312758739
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,49.98,-3.7085376105142913,-3.7114838014025535,-0.002946190888262201
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,100.02,-3.726295800030996,-3.726068590537705,0.0002272094932909141
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,499.98,-3.803742370100184,-3.7996884495991683,0.0040539205010157175
two_step|T1=90|t1=499.98|T2=80,two_step,t2_s,1000.0200000000001,-3.8375063514604886,-3.8392892795728666,-0.0017829281123780127
