mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,requires_multi_rate_arrt,heating_rates_C_min,raw_eig_score,eig_score,uncertainty_component,sensitivity_component,novelty_component,asymmetry_component,time_penalty_component,has_existing_strict_arrt_pair,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,rank
two_step,80.0,90.0,30.0,300.0,330.0,True,"5,10,20,40",0.5423137834089978,0.5423137834089978,0.9835228892753578,0.0,0.3136063844459715,0.4434053967922576,0.09166666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,33
two_step,80.0,90.0,300.0,30.0,330.0,True,"5,10,20,40",0.5423137834089978,0.5423137834089978,0.9835228892753578,0.0,0.3136063844459715,0.4434053967922576,0.09166666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,21
two_step,90.0,80.0,30.0,300.0,330.0,True,"5,10,20,40",0.5423137834089978,0.5423137834089978,0.9835228892753578,0.0,0.3136063844459715,0.4434053967922576,0.09166666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,34
two_step,90.0,80.0,300.0,30.0,330.0,True,"5,10,20,40",0.5423137834089978,0.5423137834089978,0.9835228892753578,0.0,0.3136063844459715,0.4434053967922576,0.09166666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,22
two_step,80.0,90.0,100.0,30.0,130.0,True,"5,10,20,40",0.5376777953434559,0.5376777953434559,0.9835228892753578,8.711344155265258e-11,0.3739832914206445,0.23184725752526583,0.03611111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,35
two_step,90.0,80.0,100.0,30.0,130.0,True,"5,10,20,40",0.5376777953222103,0.5376777953222103,0.9835228892753578,2.1309858484094052e-12,0.3739832914206445,0.23184725752526583,0.03611111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,36
two_step,80.0,90.0,100.0,1800.0,1900.0,True,"5,10,20,40",0.5349866606013751,0.5349866606013751,0.9835228892753578,0.0,0.3948206116445602,0.5565946032077425,0.5277777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,11
two_step,90.0,80.0,100.0,1800.0,1900.0,True,"5,10,20,40",0.5349866606013751,0.5349866606013751,0.9835228892753578,0.0,0.3948206116445602,0.5565946032077425,0.5277777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,12
two_step,80.0,90.0,30.0,900.0,930.0,True,"5,10,20,40",0.5326986035592169,0.5326986035592169,0.9834330490209666,0.00021613454825227633,0.2263500546173035,0.6549635360592492,0.25833333333333336,False,-1.1607226247238485,0.727019211840336,-1.7703179287665345,0.44443562504890166,491.25552842398906,54.925914328941936,1082.13829061298,147.4352517504988,27
two_step,90.0,80.0,30.0,900.0,930.0,True,"5,10,20,40",0.5326851424770062,0.5326851424770062,0.9835219125505226,2.3358662082554645e-06,0.2263500546173035,0.6549635360592492,0.25833333333333336,False,-1.1607922133521822,0.7270753908536548,-1.770309401551974,0.44447972313299494,491.25915944614985,54.93077513362726,1082.1481127566701,147.448273471084,28
two_step,80.0,90.0,100.0,300.0,400.0,True,"5,10,20,40",0.5296674263340715,0.5296674263340715,0.9835228892753578,0.0,0.37407600561175064,0.21155813926699177,0.1111111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,15
two_step,90.0,80.0,100.0,300.0,400.0,True,"5,10,20,40",0.5296674263340715,0.5296674263340715,0.9835228892753578,0.0,0.37407600561175064,0.21155813926699177,0.1111111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,16
two_step,90.0,80.0,10.0,1800.0,1810.0,True,"5,10,20,40",0.5279339885552182,0.5279339885552182,0.6279090584440136,0.1472208941877306,0.7439595546535086,1.0,0.5027777777777778,False,-0.9974771112721686,0.27564229408961194,-1.9002396509548853,0.17898751737097057,517.2098296960249,56.00009043214071,1151.8756398925111,150.8570874295785,17
two_step,80.0,90.0,100.0,900.0,1000.0,True,"5,10,20,40",0.523606878205035,0.523606878205035,0.9835228892753578,0.0,0.30466086199973946,0.4231162785339833,0.2777777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,54
two_step,90.0,80.0,100.0,900.0,1000.0,True,"5,10,20,40",0.523606878205035,0.523606878205035,0.9835228892753578,0.0,0.30466086199973946,0.4231162785339833,0.2777777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,55
two_step,80.0,90.0,900.0,100.0,1000.0,True,"5,10,20,40",0.5137326842057568,0.5137326842057568,0.9835228892753578,0.0,0.25528989200334856,0.4231162785339833,0.2777777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,56
two_step,90.0,80.0,900.0,100.0,1000.0,True,"5,10,20,40",0.5137326842057568,0.5137326842057568,0.9835228892753578,0.0,0.25528989200334856,0.4231162785339833,0.2777777777777778,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,57
two_step,90.0,80.0,10.0,900.0,910.0,True,"5,10,20,40",0.5081217107286236,0.5081217107286236,0.42747677071311335,0.4370742124611016,0.7002933274102264,0.8665216753262408,0.25277777777777777,False,-0.9005464668010964,0.19905001678025824,-1.8583085074592331,0.11801933308769134,494.2665327401816,44.64205130679947,1090.060399347369,120.27734414034572,58
two_step,80.0,90.0,1800.0,900.0,2700.0,True,"5,10,20,40",0.5075729721029658,0.5075729721029658,0.9835228892753578,0.0,0.5581991973083947,0.13347832467375917,0.75,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,19
two_step,90.0,80.0,1800.0,900.0,2700.0,True,"5,10,20,40",0.5075729721029658,0.5075729721029658,0.9835228892753578,0.0,0.5581991973083947,0.13347832467375917,0.75,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,20
two_step,80.0,90.0,30.0,100.0,130.0,True,"5,10,20,40",0.5072161400788874,0.5072161400788874,0.9835228892753578,8.978967147686103e-10,0.22167501408432255,0.23184725752526583,0.03611111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,42
two_step,90.0,80.0,30.0,100.0,130.0,True,"5,10,20,40",0.5072161398580345,0.5072161398580345,0.9835228892753578,1.448521870145221e-11,0.22167501408432255,0.23184725752526583,0.03611111111111111,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,43
two_step,80.0,90.0,30.0,10.0,40.0,True,"5,10,20,40",0.5071875642842855,0.5071875642842855,0.9835228892753578,0.0,0.22167669536282134,0.21155813926699166,0.011111111111111112,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,44
