sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,arrt_peak_temperature_Tp_C,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index
onestep_70_011,PS-onestep-02.xlsx,11,single_step,70.0,0.1002,nan,nan,0.1002,10.0,105.958564758301,9965,30.0101757049561,197.137283325195,True,False,70.0,105.0,70.0,105.0,-1872.1186201057922,-2.389938663964841,-1299.5513978858312,-1.6590017845351035,104.997245788574,-59.14879484966582,nan,0,-6693.137075612742,-8.54443030929286,-2717.3331386090795,-3.4689359216286113,105.958564758301,-61.020482774555376,nan,40.0,160.0,70.0,140.0,0.06422873165237389
onestep_70_012,PS-onestep-02.xlsx,12,single_step,70.0,0.4998,nan,nan,0.4998,10.0,105.952445983887,9968,30.0035591125488,197.158905029297,True,False,70.0,105.0,70.0,105.0,-1807.473572776028,-2.3074130716289716,-1256.8786084517546,-1.6045258831298994,104.99089050293,-58.354265024085635,nan,0,-6523.17781481035,-8.327461040183424,-2653.2452109267233,-3.3871215458639017,105.952445983887,-60.01654036170498,nan,40.0,160.0,70.0,140.0,0.0620108863978014
onestep_70_013,PS-onestep-02.xlsx,13,single_step,70.0,0.7979999999999999,nan,nan,0.7979999999999999,10.0,105.98055267334,9969,30.0079956054688,197.187728881836,True,False,70.0,105.0,70.0,105.0,-1818.227275402086,-2.3211412026409604,-1268.273709814633,-1.619072821039957,104.984893798828,-58.86476721175063,nan,0,-6519.067580162994,-8.32221393212297,-2676.46994472589,-3.4167701422032635,105.98055267334,-60.70662669540707,nan,40.0,160.0,70.0,140.0,0.06237982492168589
onestep_70_014,PS-onestep-02.xlsx,14,single_step,70.0,1.0002,nan,nan,1.0002,10.0,105.878616333008,9970,30.0104808807373,197.210815429688,True,False,70.0,105.0,70.0,105.0,-1749.0395064148256,-2.2328163911678622,-1218.9514244404495,-1.5561082014133396,104.984832763672,-56.09144747563914,nan,0,-6249.285551530408,-7.977811342379244,-2563.6113445903284,-3.272695333519568,105.878616333008,-58.41270976107512,nan,40.0,160.0,70.0,140.0,0.06000612776372586
onestep_70_015,PS-onestep-02.xlsx,15,single_step,70.0,4.998,nan,nan,4.998,10.0,105.97428894043,9972,30.0111808776855,197.233184814453,True,False,70.0,105.0,70.0,105.0,-1632.5524734673527,-2.08410954059662,-1126.404043342148,-1.4379626085218913,104.995948791504,-53.29214084165119,nan,0,-5848.15176099709,-7.465725652336709,-2380.7455537446394,-3.039249643078263,105.97428894043,-54.909303662578395,nan,40.0,160.0,70.0,140.0,0.05600968528416669
onestep_70_016,PS-onestep-02.xlsx,16,single_step,70.0,10.020000000000001,nan,nan,10.020000000000001,10.0,105.9892578125,9975,30.0011196136475,197.249389648438,True,False,70.0,105.0,70.0,105.0,-1576.369714063305,-2.0123868690169853,-1086.8218864372805,-1.3874321954518474,104.99471282959,-50.798303984561244,nan,0,-5650.674997775806,-7.213627656735071,-2291.3768210803405,-2.9251618992514983,105.9892578125,-52.93004849354952,nan,40.0,160.0,70.0,140.0,0.054082164592636726
onestep_70_017,PS-onestep-02.xlsx,17,single_step,70.0,49.98,nan,nan,49.98,10.0,105.993743896484,9975,30.0009517669678,197.268157958984,True,False,70.0,105.0,70.0,105.0,-1564.1075492194818,-1.9967330415567852,-1073.9951937659725,-1.3710576941693264,104.998840332031,-49.54465976337292,nan,0,-5561.083695479566,-7.099255781463275,-2245.426369500994,-2.8665017482991413,105.993743896484,-51.43363960227521,nan,40.0,160.0,70.0,140.0,0.053661473677663295
onestep_70_018,PS-onestep-02.xlsx,18,single_step,70.0,100.02,nan,nan,100.02,10.0,105.988082885742,9975,30.0111808776855,197.287048339844,True,False,70.0,105.0,70.0,105.0,-1579.593068666995,-2.016501789787653,-1478.3200575281112,-1.8872170947167375,77.5763549804688,-50.17082941228648,nan,0,-5544.908770367813,-7.078606940895081,-2260.2238323934175,-2.885392126459682,105.988082885742,-51.82263937216135,nan,40.0,160.0,70.0,140.0,0.05419275159051036
onestep_70_019,PS-onestep-02.xlsx,19,single_step,70.0,499.98,nan,nan,499.98,10.0,105.997604370117,9977,30.0091381072998,197.312026977539,True,False,70.0,105.0,70.0,105.0,-1646.3018911628142,-2.101661988718486,-1646.3018911628142,-2.101661988718486,86.3238220214844,-53.40995898903748,nan,0,-5443.984183831788,-6.949767043189516,-1944.1060591652974,-2.4818375223386773,86.3238220214844,-53.40995898903748,nan,40.0,160.0,70.0,140.0,0.05648140093832129
onestep_70_020,PS-onestep-02.xlsx,20,single_step,70.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,95.0159072875977,9978,30.0084838867188,197.344863891602,True,False,70.0,105.0,70.0,105.0,-1690.566886059849,-2.1581704928423604,-1690.566886059849,-2.1581704928423604,91.9519882202148,-55.26100781937794,nan,0,-5361.970360960818,-6.845068545907426,-2227.1479053677504,-2.8431675387673407,91.9519882202148,-55.26100781937794,nan,40.0,160.0,70.0,140.0,0.058000046417460156
single_90_500_repeat_001,ps-single-500hs-01.xlsx,1,single_step,90.0,499.998,nan,nan,499.998,10.0,101.19270324707,9944,30.0048084259033,196.896270751953,True,False,70.0,105.0,70.0,105.0,2516.491199463766,3.212541956762254,2588.0972995315296,3.3039539994019527,84.4786605834961,92.5295939241945,70.0099029541016,0,11237.582892468883,14.345850501024104,2766.704827903681,3.531963610089805,139.993087768555,113.53412751306541,70.0099029541016,40.0,160.0,70.0,140.0,0.08060871213331125
single_eig_01_001,ps-single-01.xlsx,1,single_step,100.0,300.0,nan,nan,300.0,10.0,104.17081451416,9950,30.0081024169922,196.915161132813,True,False,70.0,105.0,70.0,105.0,495.98920759845595,0.633177711827816,322.49968681419136,0.4117017278479038,104.17081451416,-25.584594683359,nan,0,2209.445067735276,2.820568171576948,744.0789122908841,0.9498879731372988,104.17081451416,-25.584594683359,nan,40.0,160.0,70.0,140.0,0.5737886602682573
single_eig_01_002,ps-single-01.xlsx,2,single_step,90.0,300.0,nan,nan,300.0,10.0,102.415451049805,9950,30.0066528320313,196.899307250977,True,False,70.0,105.0,70.0,105.0,465.32618858681633,0.5940334322384888,297.83270989995793,0.38021197008505264,102.415451049805,-33.04891724232357,nan,0,2518.12902292304,3.2146327952209015,831.6418651568786,1.0616704661577172,102.415451049805,-33.04891724232357,nan,40.0,160.0,70.0,140.0,0.014905414647139783
