sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,heating_rate_C_min,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,arrt_peak_temperature_Tp_C
hs_02_011,ps-hs-02.xlsx,11,two_step,65.0,10.000020000000001,100.0,1200.0,20.0,4908,30.014627456665,194.833190917969,True,False,105.990852355957
hs_02_012,ps-hs-02.xlsx,12,two_step,65.0,10.000020000000001,100.0,1200.0,40.0,2396,30.0024452209473,190.343734741211,True,False,107.905296325684
single_hs_80_90_01_001,ps-single-hs-01.xlsx,1,single_step,80.0,49.999999999999986,nan,nan,5.0,20066,30.0009517669678,198.112762451172,True,False,102.906616210938
single_hs_80_90_01_002,ps-single-hs-01.xlsx,2,single_step,80.0,49.999999999999986,nan,nan,10.0,9949,30.0027351379395,196.940139770508,True,False,104.299736022949
single_hs_80_90_01_003,ps-single-hs-01.xlsx,3,single_step,80.0,49.999999999999986,nan,nan,20.0,4901,30.013650894165,194.613464355469,True,False,105.874794006348
single_hs_80_90_01_004,ps-single-hs-01.xlsx,4,single_step,80.0,49.999999999999986,nan,nan,40.0,2388,30.0183334350586,189.869400024414,True,False,108.095184326172
single_hs_80_90_01_005,ps-single-hs-01.xlsx,5,single_step,80.0,499.99999999999983,nan,nan,5.0,20071,30.0067749023438,198.147705078125,True,False,102.794715881348
single_hs_80_90_01_006,ps-single-hs-01.xlsx,6,single_step,80.0,499.99999999999983,nan,nan,10.0,9952,30.001895904541,197.00959777832,True,False,104.104187011719
single_hs_80_90_01_007,ps-single-hs-01.xlsx,7,single_step,80.0,499.99999999999983,nan,nan,20.0,4905,30.0110912322998,194.749496459961,True,False,105.365249633789
single_hs_80_90_01_008,ps-single-hs-01.xlsx,8,single_step,80.0,499.99999999999983,nan,nan,40.0,2393,30.0069122314453,190.190277099609,True,False,106.85400390625
single_hs_80_90_01_009,ps-single-hs-01.xlsx,9,single_step,80.0,1000.000000000002,nan,nan,5.0,20073,30.0022010803223,198.171936035156,True,False,102.713600158691
single_hs_80_90_01_010,ps-single-hs-01.xlsx,10,single_step,80.0,1000.000000000002,nan,nan,10.0,9956,30.0020790100098,197.070297241211,True,False,103.627471923828
single_hs_80_90_01_011,ps-single-hs-01.xlsx,11,single_step,80.0,1000.000000000002,nan,nan,20.0,4909,30.0083160400391,194.877578735352,True,False,104.749038696289
single_hs_80_90_01_012,ps-single-hs-01.xlsx,12,single_step,80.0,1000.000000000002,nan,nan,40.0,2397,30.0059986114502,190.452163696289,True,False,106.504768371582
single_hs_80_90_01_013,ps-single-hs-01.xlsx,13,single_step,90.0,49.999999999999986,nan,nan,5.0,20081,30.0035438537598,198.211181640625,True,False,102.715194702148
single_hs_80_90_01_014,ps-single-hs-01.xlsx,14,single_step,90.0,49.999999999999986,nan,nan,10.0,9961,30.0120048522949,197.139053344727,True,False,104.0224609375
single_hs_80_90_01_015,ps-single-hs-01.xlsx,15,single_step,90.0,49.999999999999986,nan,nan,20.0,4913,30.0129814147949,194.983047485352,True,False,105.541130065918
single_hs_80_90_01_016,ps-single-hs-01.xlsx,16,single_step,90.0,49.999999999999986,nan,nan,40.0,2401,30.0065765380859,190.664031982422,True,False,107.287887573242
single_hs_80_90_01_017,ps-single-hs-01.xlsx,17,single_step,90.0,499.99999999999983,nan,nan,5.0,20085,30.0036964416504,198.245071411133,True,False,101.793090820313
single_hs_80_90_01_018,ps-single-hs-01.xlsx,18,single_step,90.0,499.99999999999983,nan,nan,10.0,9964,30.0116386413574,197.197082519531,True,False,103.162353515625
single_hs_80_90_01_019,ps-single-hs-01.xlsx,19,single_step,90.0,499.99999999999983,nan,nan,20.0,4917,30.014123916626,195.125045776367,True,False,104.96435546875
single_hs_80_90_01_020,ps-single-hs-01.xlsx,20,single_step,90.0,499.99999999999983,nan,nan,40.0,2405,30.0054187774658,190.938903808594,True,False,106.870361328125
single_hs_80_90_01_021,ps-single-hs-01.xlsx,21,single_step,90.0,1000.000000000002,nan,nan,5.0,8867,30.0069122314453,104.236869812012,False,True,nan
single_hs_80_90_01_022,ps-single-hs-01.xlsx,22,single_step,90.0,1000.000000000002,nan,nan,10.0,0,nan,nan,False,True,nan
single_hs_80_90_01_023,ps-single-hs-01.xlsx,23,single_step,90.0,1000.000000000002,nan,nan,20.0,0,nan,nan,False,True,nan
single_hs_80_90_01_024,ps-single-hs-01.xlsx,24,single_step,90.0,1000.000000000002,nan,nan,40.0,0,nan,nan,False,True,nan
kovacs_80_to_90_001,pskovacs.xlsx,1,two_step,80.0,49.98,90.0,0.1002,10.0,9937,30.0033912658691,196.829574584961,True,False,105.60977935791
kovacs_80_to_90_002,pskovacs.xlsx,2,two_step,80.0,49.98,90.0,0.4998,10.0,9942,30.0101909637451,196.868988037109,True,False,105.352447509766
kovacs_80_to_90_003,pskovacs.xlsx,3,two_step,80.0,49.98,90.0,0.7979999999999999,10.0,9945,30.0037250518799,196.895156860352,True,False,105.510284423828
kovacs_80_to_90_004,pskovacs.xlsx,4,two_step,80.0,49.98,90.0,1.0002,10.0,9946,30.0099773406982,196.911056518555,True,False,105.474052429199
kovacs_80_to_90_005,pskovacs.xlsx,5,two_step,80.0,49.98,90.0,4.998,10.0,9947,30.0008296966553,196.920867919922,True,False,105.282920837402
kovacs_80_to_90_006,pskovacs.xlsx,6,two_step,80.0,49.98,90.0,10.020000000000001,10.0,9950,30.0000972747803,196.938949584961,True,False,105.451065063477
kovacs_80_to_90_007,pskovacs.xlsx,7,two_step,80.0,49.98,90.0,49.98,10.0,9953,30.0015296936035,196.96647644043,True,False,105.297142028809
kovacs_80_to_90_008,pskovacs.xlsx,8,two_step,80.0,49.98,90.0,100.02,10.0,9954,30.010648727417,196.983749389648,True,False,105.12393951416
kovacs_80_to_90_009,pskovacs.xlsx,9,two_step,80.0,49.98,90.0,499.98,10.0,9956,30.000524520874,197.004440307617,True,False,104.568908691406
kovacs_80_to_90_010,pskovacs.xlsx,10,two_step,80.0,49.98,90.0,1000.0200000000001,10.0,9956,30.0105113983154,197.022216796875,True,False,104.511016845703
kovacs_80_to_90_011,pskovacs.xlsx,11,two_step,80.0,499.98,90.0,0.1002,10.0,9954,30.0024909973145,197.027465820313,True,False,105.250694274902
kovacs_80_to_90_012,pskovacs.xlsx,12,two_step,80.0,499.98,90.0,0.4998,10.0,9956,30.0012111663818,197.054214477539,True,False,105.260787963867
kovacs_80_to_90_013,pskovacs.xlsx,13,two_step,80.0,499.98,90.0,0.7979999999999999,10.0,9957,30.0126762390137,197.075729370117,True,False,105.236175537109
kovacs_80_to_90_014,pskovacs.xlsx,14,two_step,80.0,499.98,90.0,1.0002,10.0,9958,30.0125389099121,197.094528198242,True,False,105.188430786133
kovacs_80_to_90_015,pskovacs.xlsx,15,two_step,80.0,499.98,90.0,4.998,10.0,9960,30.0045490264893,197.12190246582,True,False,105.176322937012
kovacs_80_to_90_016,pskovacs.xlsx,16,two_step,80.0,499.98,90.0,10.020000000000001,10.0,9963,30.0045948028564,197.138732910156,True,False,105.20093536377
kovacs_80_to_90_017,pskovacs.xlsx,17,two_step,80.0,499.98,90.0,49.98,10.0,9965,30.0058002471924,197.153091430664,True,False,105.03101348877
kovacs_80_to_90_018,pskovacs.xlsx,18,two_step,80.0,499.98,90.0,100.02,10.0,9966,30.0064086914063,197.174621582031,True,False,104.830490112305
kovacs_80_to_90_019,pskovacs.xlsx,19,two_step,80.0,499.98,90.0,499.98,10.0,9968,30.002124786377,197.198379516602,True,False,104.410949707031
kovacs_80_to_90_020,pskovacs.xlsx,20,two_step,80.0,499.98,90.0,1000.0200000000001,10.0,9969,30.0025672912598,197.218170166016,True,False,104.509086608887
twostep_90_to_80_001,twosteps.xlsx,1,two_step,90.0,49.98,80.0,0.1002,10.0,9948,30.0102825164795,196.88005065918,True,False,105.377388000488
twostep_90_to_80_002,twosteps.xlsx,2,two_step,90.0,49.98,80.0,0.4998,10.0,9951,30.0107707977295,196.92578125,True,False,105.39151763916
twostep_90_to_80_003,twosteps.xlsx,3,two_step,90.0,49.98,80.0,0.7979999999999999,10.0,9955,30.0008754730225,196.958862304688,True,False,105.437423706055
twostep_90_to_80_004,twosteps.xlsx,4,two_step,90.0,49.98,80.0,1.0002,10.0,9957,30.0041980743408,197.011795043945,True,False,105.257919311523
twostep_90_to_80_005,twosteps.xlsx,5,two_step,90.0,49.98,80.0,4.998,10.0,9960,30.0099468231201,197.037094116211,True,False,105.443626403809
