mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_proxy_activation_enthalpy_H_star_kj_mol,pred_proxy_activation_enthalpy_H_star_kj_mol,uncertainty_proxy_activation_enthalpy_H_star_kj_mol,eig_proxy_activation_entropy_S_star_j_mol_K,pred_proxy_activation_entropy_S_star_j_mol_K,uncertainty_proxy_activation_entropy_S_star_j_mol_K
two_step,85,1800,95,10,1810,21,0.6323578324588692,0.6139927837748733,-1.4796182575467398,1.0114583515849715,0.6108307731305914,-1.7337190856401814,0.6068432400337915,0.6523539115807359,-250.58404584203598,101.83340417541541,0.6522538613492765,-973.3116748048387,268.93834693750404
single_step,85,600,,,600,22,0.6312888796614516,0.5802649178650864,-1.2416923344271629,0.938345014763139,0.5787304861537179,-1.5764635344717686,0.5649038565545366,0.6830505159360475,-222.1730419565779,108.45805777655409,0.6831095986909549,-898.2779348818076,286.5278350115329
single_step,90,1800,,,1800,23,0.6300358410501626,0.6201080403069998,-1.5186423016732729,1.0249807690307804,0.6190092433301564,-1.7423620512415734,0.6177454411103999,0.6405715106911765,-256.9140956935108,99.34415773284896,0.6404545698723177,-990.0273963545562,262.35425222209886
two_step,90,1200,90,10,1210,24,0.6297347077197761,0.6094242879670122,-1.4372496863366115,1.0014100504254277,0.606386533938506,-1.7101810970124158,0.6009561903960956,0.6516074003207707,-247.27146120245638,101.67481834758576,0.651520608652816,-964.5727778505262,268.52691854478496
single_step,85,1800,,,1800,25,0.6282777148818838,0.5364108530315468,-1.0911393107104794,0.8468947198427249,0.5339468090130762,-1.4883441966294655,0.5085977650382685,0.7212973550205338,-177.5374330091862,117.00181076856904,0.7214558424623783,-780.2843190192971,309.15741528228966
two_step,95,1800,90,10,1810,26,0.6281498156396559,0.6198407678530758,-1.551305753920328,1.024388030638528,0.6174831903726588,-1.7722797729160698,0.6157043842532384,0.6377092867242488,-259.4596711338295,98.74387574770789,0.6375660176086402,-996.7510446273529,260.7542205594147
two_step,75,1800,100,10,1810,27,0.6243532419889777,0.5750634703851107,-1.308616398262313,0.9272874759615377,0.5638059408514844,-1.7139141022824345,0.5458585350893668,0.6792908652974571,-219.08171861083113,107.63571512114876,0.6792526914218584,-890.1057670646396,284.2993884163994
two_step,80,1800,100,10,1810,28,0.6242380485930974,0.6100909862171926,-1.4966928456300457,1.0028735786193357,0.600105602886452,-1.77568310648304,0.5926806623646231,0.6434512607139478,-251.15526501896596,99.94985183125033,0.6433043445547975,-974.8270684011819,263.9373397551141
two_step,75,1800,95,10,1810,29,0.6236809210554806,0.5405185676473,-1.1414472285294892,0.8552914503328156,0.5433193362593461,-1.5746855679131508,0.5201740233187664,0.705389969206687,-188.7002186388286,113.40861392781464,0.7054958111085889,-809.8120548015817,299.63325894292564
two_step,80,1800,90,10,1810,30,0.6229909424708089,0.5294904782671379,-1.0822158332853744,0.8328262972137616,0.5302163976171749,-1.4980175536982767,0.5040203359968173,0.716049604224148,-176.16830732893655,115.81011327044705,0.7162072897747744,-776.6754032685643,306.00854917839735
