mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_score,expected_information_gain,inverse_identifiability_score,nearest_existing_distance,novelty_component,inverse_identifiability_component,extrapolation_penalty,extrapolation_penalty_component,time_penalty,sensitivity_T1_C,sensitivity_t1_s,sensitivity_T2_C,sensitivity_t2_s,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,60,300,85,1800,2100,11,4.1955779242017375,2.5617535537030127,1.0,2.232497002374881,0.468824370498725,1.2,0.0,0.0,0.035,0.5511959726798582,1.9683889653962474,0.24183099031913194,1.6955751511945996,0.8731098871001411,-1.9286620492922717,3.223656439557712,0.821706152367911,-1.3230067348135268,2.4459367581437705,0.3442311989931833,100.3685209618269,8.857867650140404,0.8009688917713935,-64.3151714927366,106.79335886969571,0.19071442035516775,0.7426581375391665,0.24340000136908427,1.1184433417564925,-3.0818415231855734,4.72840049906025
two_step,65,100,90,100,200,12,4.031596836214731,2.449590957278682,1.0,1.834948629854198,0.38533921226938156,1.2,0.0,0.0,0.0033333333333333335,0.4686782666673879,1.2471023438303335,0.2222781255101256,0.4930281765260972,0.8196109906487051,-1.8386100045818194,3.0190499123900274,0.7699276242165124,-1.2229087370353795,2.2919473205092675,0.3028225965789381,99.07709876616381,8.119765408259545,0.6997026677729525,-55.93321031628518,93.73469378996248,0.21143794588871043,0.6840973984395476,0.25913205439052267,1.1338826650560645,-2.7653355167914153,4.810690842049353
two_step,70,10,100,60,70,13,4.040018947191023,2.5440965411464878,0.8683655997993817,2.1669070845229648,0.4550504877498226,1.042038719759258,3.851367973431823e-07,1.3479787907011379e-07,0.0011666666666666668,0.5237554326187952,3.769058527484996,0.41516593707230526,2.513243134796335,0.9387339034420302,-0.9154013088370725,3.4867443317943376,0.9033459935498668,-0.46029830714879005,2.7014829309411184,0.32131187560539426,98.43300684511188,8.44972504814018,0.779087957354097,-32.06252822000129,103.89058666733366,0.1593086698929923,0.7826781711733491,0.21879219231229918,1.0283030988136668,-2.447434591892835,4.269494748488892
two_step,60,10,80,30,40,14,3.959944324345027,2.34621473958713,1.0,1.9733161248687758,0.4143963862224429,1.2,3.851367973431823e-07,1.3479787907011379e-07,0.0006666666666666666,0.4671113472784488,0.8107643116309328,0.11307188761064502,1.5578055127126562,0.8333915532198691,-1.1421498509193044,3.070948374436047,0.7469407523270081,-0.7856606664914298,2.2254364619871354,0.14184139791624273,103.50667637708462,5.096982710489495,0.6552364007860104,-31.512169849562934,88.2816386343624,0.24431135221636238,0.5894638885412026,0.28351771904541767,1.1579952834554263,-1.228973045418794,4.941480287330921
two_step,50,300,75,10,310,15,4.137635131968216,2.3752769457004073,0.9636586252445856,2.9101642982903493,0.6111345026409734,1.1563903502935027,0.0,0.0,0.005166666666666666,0.37826786141969937,3.180840732077235,0.07403998347652925,2.6739614993749474,0.8526899583420309,-2.505888901175716,3.1445570334949835,0.7748909941706092,-1.7419891635898008,2.3064541198739383,0.22263124377145754,102.41456812533593,6.665169768002261,0.61555498394972,-61.59500384785642,83.54307064786305,0.2041951620209091,0.7386568319826297,0.25367111089678807,1.141562046234428,-2.438137103766972,4.852041387180448
two_step,65,30,95,10,40,16,4.072389541626957,2.423829355610522,0.9885369604818329,2.2046785719281043,0.4629825001049019,1.1862443525781994,0.0,0.0,0.0006666666666666666,0.4711615551575391,5.853871210411137,0.2549423273592416,5.193746456273671,0.8783942300545338,-2.1536965802416246,3.2443337154299963,0.8140365265311358,-1.4342449293405728,2.4227492251553016,0.29725912300565266,99.66769985719286,8.020265383931132,0.6671544240887953,-57.011526135772684,89.7277857067799,0.17774071742048103,0.7539203976741914,0.23336324718946713,1.0635361553219096,-3.2065407290421684,4.444612085088334
two_step,55,1800,55,600,2400,17,3.8883300218388412,2.1546114986304348,1.0,3.2081834438495562,0.6737185232084067,1.2,0.2857142857142857,0.09999999999999999,0.04,0.44047189410839926,2.5001378711951703,0.02935976093518728,0.6492838853865152,0.6819540551479104,-2.2333564781119657,2.5283675047201637,0.6089409154383845,-1.632054655307616,1.847235626605814,0.018576671342240152,104.6908576631742,1.7314655664266312,0.6516942712447092,-72.60440715884846,87.853933008344,0.32771319524949916,0.5873237034553291,0.34370266137337996,1.1810447832378197,-1.6945107588912414,5.06915593857371
two_step,65,100,95,300,400,18,4.060125994203439,2.485843855594127,1.0,1.8140419298856125,0.38094880527597863,1.2,0.0,0.0,0.006666666666666667,0.5307865142707416,1.5023850342596494,0.30732728227320144,0.4199038008067978,0.8867975474196778,-1.7055076454362328,3.2773940573663225,0.8407202336170425,-1.1079408779913822,2.5040101819547,0.3509061070755106,98.46418391244589,8.976676256033324,0.7718355000867507,-54.67497703093552,102.9387371764972,0.14170953590561575,0.8018948078092009,0.2044554114783894,1.0491413510490049,-3.1028668937411057,4.372424936150987
two_step,65,100,90,1800,1900,19,4.215384326051605,2.716945566765505,0.9346803279310676,1.9451858687404016,0.4084890324354843,1.1216163935172812,0.0,0.0,0.03166666666666667,0.5919041086641406,5.283569135691035,0.4150665135392849,3.9109626630535956,0.9190872526846853,-1.289142044501897,3.4065147701103955,0.8968215268393384,-0.766214786629922,2.680449674277066,0.39871215578312863,98.16651934625168,9.829144369731301,0.8562641383211735,-50.20887243757648,114.34608851856117,0.2093269764804914,0.7474818973548873,0.25754423351460454,1.1078153622452647,-2.5576567388365574,4.672401085799004
two_step,70,10,85,1800,1810,20,4.229901870430038,2.6965241094980836,1.0,1.7311645828404736,0.36354456239649946,1.2,3.851367973431823e-07,1.3479787907011379e-07,0.030166666666666665,0.5770110241134382,3.969196448399967,0.37664980266507325,2.4847316621470843,0.887235163380436,-1.7921047879968812,3.2791217789227773,0.8527598147105694,-1.2033167487300878,2.541223932307195,0.30486892931354104,100.70658689803122,8.156334181297069,0.8693479092080044,-68.08770068747788,116.18085722382281,0.2723547056114646,0.7070084450397245,0.3039396871538179,1.1663576559332294,-2.6287842857633077,4.987497603912554
