sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,cooling_rate_C_min,noise_sigma_uW,process_total_integral_uW_min,process_total_abs_integral_uW_min,process_total_mean_uW,process_total_std_uW,process_hold_integral_uW_min,process_hold_abs_integral_uW_min,process_cooling_integral_uW_min,process_cooling_abs_integral_uW_min,process_between_step_heating_integral_uW_min,process_step1_hold_mean_uW,process_step1_hold_slope_uW_min,process_step1_hold_delta_uW,process_step2_hold_mean_uW,process_step2_hold_slope_uW_min,process_step2_hold_delta_uW,process_final_cooling_mean_uW,process_final_cooling_slope_uW_min,process_pre_scan_start_dsc_uW,process_pre_scan_end_dsc_uW,process_pre_scan_dsc_shift_uW,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index,path_dependence_index
onestep_70_018,PS-onestep-02.xlsx,18,single_step,70.0,100.02,nan,nan,100.02,10.0,60.0,27.467694910576387,17157.859679997753,17158.241447588593,2191.7161807526923,2590.1465044406395,4120.511977431071,4120.511977431071,17156.79632245381,17157.17809004465,0,1236.4398662567132,-2736.3870711690033,-4197.147590637203,637.6944055557248,-820.7715472555456,-2260.29681396484,719.3742365519204,-552.9609065482817,-17.575366973877,31.6266326904297,49.2019996643067,70.0,105.0,70.0,105.0,-1579.593068666995,-2.016501789787653,-1478.3200575281112,-1.8872170947167375,77.5763549804688,-50.17082941228648,nan,0,-5544.908770367813,-7.078606940895081,-2260.2238323934175,-2.885392126459682,105.988082885742,-51.82263937216135,nan,40.0,160.0,70.0,140.0,0.4385387802513956,0.0
onestep_70_019,PS-onestep-02.xlsx,19,single_step,70.0,499.98,nan,nan,499.98,10.0,60.0,27.467694910576387,17349.520124648403,17349.97488396008,1195.8075257333078,2182.6921250997952,4329.896107807208,4329.896107807208,17348.94684762,17349.40160693168,0,278.6050867156982,-160.81171948307994,-4219.536453247067,618.937941499017,-818.4347555239817,-2341.9687652587854,705.7769610614695,-558.3388043862986,-19.1995754241943,27.6070251464844,46.8066005706787,70.0,105.0,70.0,105.0,-1646.3018911628142,-2.101661988718486,-1646.3018911628142,-2.101661988718486,86.3238220214844,-53.40995898903748,nan,0,-5443.984183831788,-6.949767043189516,-1944.1060591652974,-2.4818375223386773,86.3238220214844,-53.40995898903748,nan,40.0,160.0,70.0,140.0,0.4570589967740035,0.0
onestep_70_020,PS-onestep-02.xlsx,20,single_step,70.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,60.0,27.467694910576387,17576.47771489461,17577.026248334245,769.0865552599156,1820.9116859502146,4601.952954108134,4601.952954108134,17575.9162705485,17576.464803988136,0,156.1129079818725,-42.31635710531089,-4208.909843444821,613.599324103629,-814.0321109717471,-2365.132034301754,701.4473958921824,-557.712149373045,-20.6637420654297,27.2352600097656,47.8990020751953,70.0,105.0,70.0,105.0,-1690.566886059849,-2.1581704928423604,-1690.566886059849,-2.1581704928423604,91.9519882202148,-55.26100781937794,nan,0,-5361.970360960818,-6.845068545907426,-2227.1479053677504,-2.8431675387673407,91.9519882202148,-55.26100781937794,nan,40.0,160.0,70.0,140.0,0.46934818520806104,0.0
single_90_500_repeat_001,ps-single-500hs-01.xlsx,1,single_step,90.0,499.998,nan,nan,499.998,10.0,60.0,27.467694910576387,16010.465042193731,16010.465042193731,756.4251269768542,1641.2058640089717,5291.855533472698,5291.855533472698,16009.524633169176,16009.524633169176,0,311.03143688964843,-168.03038683174276,-5160.333507537844,276.5775803820291,-115.43551157932005,-2504.94920730591,393.95004395571607,-142.53027846985634,1.44403457641602,62.5734233856201,61.12938880920408,70.0,105.0,70.0,105.0,2516.491199463766,3.212541956762254,2588.0972995315296,3.3039539994019527,84.4786605834961,92.5295939241945,70.0099029541016,0,11237.582892468883,14.345850501024104,2766.704827903681,3.531963610089805,139.993087768555,113.53412751306541,70.0099029541016,40.0,160.0,70.0,140.0,1.0,0.0
single_eig_01_001,ps-single-01.xlsx,1,single_step,100.0,300.0,nan,nan,300.0,10.0,60.0,27.467694910576387,18751.11962323189,18751.11962323189,1049.6544035993406,2021.8585077822854,6327.4021032333385,6327.4021032333385,18751.11962323189,18751.11962323189,0,553.6563888118909,-484.05053794377244,-6399.671264648437,363.2420613225302,-139.72131876900795,-3081.761077880859,567.038248889315,-193.7955668491414,6.30175971984863,103.550151824951,97.24839210510237,70.0,105.0,70.0,105.0,495.98920759845595,0.633177711827816,322.49968681419136,0.4117017278479038,104.17081451416,-25.584594683359,nan,0,2209.445067735276,2.820568171576948,744.0789122908841,0.9498879731372988,104.17081451416,-25.584594683359,nan,40.0,160.0,70.0,140.0,0.5737886602682573,0.0
single_eig_01_002,ps-single-01.xlsx,2,single_step,90.0,300.0,nan,nan,300.0,10.0,60.0,27.467694910576387,18797.61516257127,18797.61516257127,1052.2804743487445,1999.832492846935,6508.126573117597,6508.126573117597,18797.615162571274,18797.615162571274,0,593.0936236334005,-508.44266713949236,-5865.2232360839835,360.36243285752,-136.9517057361607,-2916.902000427246,496.9037057815993,-167.7853273277161,39.7887239456177,104.962940216064,65.1742162704463,70.0,105.0,70.0,105.0,465.32618858681633,0.5940334322384888,297.83270989995793,0.38021197008505264,102.415451049805,-33.04891724232357,nan,0,2518.12902292304,3.2146327952209015,831.6418651568786,1.0616704661577172,102.415451049805,-33.04891724232357,nan,40.0,160.0,70.0,140.0,0.18491071563690414,0.0
single_eig_01_003,ps-single-01.xlsx,3,single_step,100.0,30.0,nan,nan,30.0,10.0,60.0,27.467694910576387,18174.028605629606,18174.028605629606,1361.5547641296962,2191.3020490271833,5918.563553613045,5918.563553613045,18149.34809294701,18149.34809294701,0,4431.8368075052895,-11131.572678409086,-4788.6682128906195,378.9786687143236,-145.73172810753155,-2937.029716491704,587.5280802253465,-202.25432620497384,38.8387012481689,103.021503448486,64.1828022003171,70.0,105.0,70.0,105.0,864.4109616362433,1.1035033552803104,864.4109616362433,1.1035033552803104,84.6441802978516,28.211233051512977,nan,0,3250.4299278965254,4.149485014335989,1178.8597567606926,1.5049273490562032,120.773292541504,49.277735460082454,nan,40.0,160.0,70.0,140.0,1.0,0.0
single_eig_01_004,ps-single-01.xlsx,4,single_step,100.0,100.02,nan,nan,100.02,10.0,60.0,27.467694910576387,18112.254728368127,18118.89414709727,1245.1623393317682,2130.190105159897,6052.995540351947,6052.995540351947,18110.347566083274,18116.986984812418,0,1478.5231223297121,-3504.9155674066806,-6274.316635131835,365.5774624636321,-140.63896195190492,-2981.166275024414,557.8395447015412,-189.77419368563008,-61.4070091247559,100.665950775146,162.0729598999019,70.0,105.0,70.0,105.0,827.0202320485657,1.0557705089981688,827.252676259061,1.0560672462881628,89.0012664794922,28.680248468382956,nan,0,3313.9500479219923,4.230574529262117,990.9117711723095,1.2649937504327355,132.97639465332,32.63679235243444,nan,40.0,160.0,70.0,140.0,0.9567442671979765,0.0
kovacs_eig_01_001,ps-kovacs-01.xlsx,1,single_step,95.0,100.02,nan,nan,100.02,10.0,60.0,27.467694910576387,18130.979653549188,18130.979653549188,1249.0370090245924,2151.170665796263,5977.684037335714,5977.684037335714,18128.892718569434,18128.892718569434,0,1477.6019421568005,-3421.88059097672,-6085.349945068357,356.91853724161786,-138.48954783443904,-2922.4953384399387,520.3523064634853,-178.42200463584274,6.89634132385254,98.0149536132813,91.11861228942877,70.0,105.0,70.0,105.0,765.0120897057773,0.9766111783478006,801.2894526127269,1.0229227054630554,75.7039337158203,29.057297532575717,nan,0,3288.368216685056,4.1979168723639,985.9048624340558,1.2586019520434752,132.746505737305,31.82243397848697,nan,40.0,160.0,70.0,140.0,0.6083569260190813,0.0
kovacs_eig_01_002,ps-kovacs-01.xlsx,2,two_step,65.0,10.000020000000001,100.0,1200.0,1210.00002,10.0,60.0,27.467694910576387,19985.83423643326,24106.085242750396,584.9833081321061,1660.7263383802292,4305.838819607257,7652.427580873337,19228.151470257824,19228.151470257824,694.2477510692361,3918.153529357911,-2645.981977983165,-398.53686523438046,8.373820933111329,25.42064505457539,3503.2954483032204,553.5505548277897,-191.19831387160932,33.763197183609,97.6917724609375,63.9285752773285,70.0,105.0,70.0,105.0,963.7409974037799,1.2303076562601445,963.7549352311041,1.2303254492311966,89.9733123779297,33.42287993246771,nan,0,3699.582396598051,4.722871144593257,1105.8670981250018,1.4117452316489385,132.737701416016,35.850366602690656,nan,40.0,160.0,70.0,140.0,0.37026319797742835,0.5971299444323285
