condition_key,actual_t1_s,actual_t2_s,mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,rank,loss,target_loss,mean_uncertainty,loss_components,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,target_delta_h_total_J_g,error_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,target_peak_area_J_g,error_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,target_activation_enthalpy_H_star_kj_mol,error_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,target_activation_entropy_S_star_j_mol_K,error_activation_entropy_S_star_j_mol_K
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,10,100,110,9,1.9962568774833107,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0009166666666666666, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|50|10|80|1800,10.0,1800.0,two_step,50,80,100,10,110,10,1.9962568774833107,1.9505321379390594,34.79332614396147,"{'target_loss': 1.9505321379390594, 'time_penalty': 0.0009166666666666666, 'uncertainty_penalty': 0.044808072877584586}",-1.1395205268546478,0.7947655822180824,-1.2671552427696309,0.1276347159149831,-1.7097668702278015,0.4637702772496843,-2.073021479694054,0.36325460946625254,472.06889040313035,37.566840137442405,587.2107401307184,-115.14184972758801,1030.4769251523246,100.34792857893571,1340.5046877972368,-310.0277626449122
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,1800,1810,1,0.4920988080764856,0.45977043422951136,45.99039949856937,"{'target_loss': 0.45977043422951136, 'time_penalty': 0.015083333333333332, 'uncertainty_penalty': 0.01724504051364091}",-0.9514670008857058,0.16067867025063573,-0.8126538499946546,-0.13881315089105117,-1.8795881715288913,0.0984514313502287,-1.8123776797082574,-0.06721049182063399,489.4088825780186,49.77096971223193,472.92829617146856,16.48058640655006,1077.3241604323143,133.93149818044466,1032.564089767893,44.76007066442139
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,1200,1210,2,0.5206465423449397,0.492854857228872,47.224871437739154,"{'target_loss': 0.492854857228872, 'time_penalty': 0.010083333333333333, 'uncertainty_penalty': 0.01770835178273432}",-0.9576329909666171,0.16500030105985644,-0.8126538499946546,-0.14497914097196252,-1.8833647338853237,0.10109936117223128,-1.8123776797082574,-0.0709870541770663,491.3186827987143,51.10691627676526,472.92829617146856,18.390386627245732,1082.4633490594306,137.52646981195926,1032.564089767893,49.899259291537646
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,900,910,3,0.5430083585292454,0.5173933622289406,48.078335406743314,"{'target_loss': 0.5173933622289406, 'time_penalty': 0.007583333333333333, 'uncertainty_penalty': 0.018031662966971493}",-0.9622142741052221,0.1680500948694646,-0.8126538499946546,-0.14956042411056747,-1.8861613076835853,0.10296777231591943,-1.8123776797082574,-0.07378362797532789,492.73502267497923,52.03051302021416,472.92829617146856,19.806726503510674,1086.2746541556521,140.01181073957372,1032.564089767893,53.71056438775918
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,600,610,4,0.5777417245661909,0.5538025988476487,49.27122274903679,"{'target_loss': 0.5538025988476487, 'time_penalty': 0.005083333333333334, 'uncertainty_penalty': 0.01885579238520885}",-0.970059408418499,0.17998483604916546,-0.8126538499946546,-0.1574055584238444,-1.889725715701054,0.11028618126693136,-1.8123776797082574,-0.07734803599279672,494.8171612016947,53.31861923166592,472.92829617146856,21.888865030226157,1091.877151330078,143.47600074716513,1032.564089767893,59.31306156218511
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,30,1800,1830,5,0.5848651248419267,0.5507387290128072,49.179021019115346,"{'target_loss': 0.5507387290128072, 'time_penalty': 0.01525, 'uncertainty_penalty': 0.01887639582911951}",-0.9696454526894625,0.18080362197703875,-0.8126538499946546,-0.15699160269480783,-1.8892882729323146,0.11078410463375311,-1.8123776797082574,-0.07691059322405724,494.63739398696106,53.218424501004854,472.92829617146856,21.7090978154925,1091.3933395263894,143.20607184884574,1032.564089767893,58.82924975849642
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,10,20,6,0.8780429075702993,0.8284432320944165,55.11223166572288,"{'target_loss': 0.8284432320944165, 'time_penalty': 0.00016666666666666666, 'uncertainty_penalty': 0.04943300880921621}",-1.230420805409643,0.7779969339850334,-0.8126538499946546,-0.41776695541498843,-1.7618956302249609,0.4864673155070715,-1.8123776797082574,0.05048204948329649,494.92537919498034,59.4998302023069,472.92829617146856,21.997083023511777,1092.0650447581934,159.68463221109252,1032.564089767893,59.50095499030044
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,30,10,40,7,0.878209574236966,0.8284432320944165,55.11223166572288,"{'target_loss': 0.8284432320944165, 'time_penalty': 0.0003333333333333333, 'uncertainty_penalty': 0.04943300880921621}",-1.230420805409643,0.7779969339850334,-0.8126538499946546,-0.41776695541498843,-1.7618956302249609,0.4864673155070715,-1.8123776797082574,0.05048204948329649,494.92537919498034,59.4998302023069,472.92829617146856,21.997083023511777,1092.0650447581934,159.68463221109252,1032.564089767893,59.50095499030044
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,30,40,8,0.878209574236966,0.8284432320944165,55.11223166572288,"{'target_loss': 0.8284432320944165, 'time_penalty': 0.0003333333333333333, 'uncertainty_penalty': 0.04943300880921621}",-1.230420805409643,0.7779969339850334,-0.8126538499946546,-0.41776695541498843,-1.7618956302249609,0.4864673155070715,-1.8123776797082574,0.05048204948329649,494.92537919498034,59.4998302023069,472.92829617146856,21.997083023511777,1092.0650447581934,159.68463221109252,1032.564089767893,59.50095499030044
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,30,30,60,9,0.8783762409036328,0.8284432320944165,55.11223166572288,"{'target_loss': 0.8284432320944165, 'time_penalty': 0.0004999999999999999, 'uncertainty_penalty': 0.04943300880921621}",-1.230420805409643,0.7779969339850334,-0.8126538499946546,-0.41776695541498843,-1.7618956302249609,0.4864673155070715,-1.8123776797082574,0.05048204948329649,494.92537919498034,59.4998302023069,472.92829617146856,21.997083023511777,1092.0650447581934,159.68463221109252,1032.564089767893,59.50095499030044
two_step|65|10|100|1200,10.0,1200.0,two_step,65,100,10,60,70,10,0.8784595742369661,0.8284432320944165,55.11223166572288,"{'target_loss': 0.8284432320944165, 'time_penalty': 0.0005833333333333334, 'uncertainty_penalty': 0.04943300880921621}",-1.230420805409643,0.7779969339850334,-0.8126538499946546,-0.41776695541498843,-1.7618956302249609,0.4864673155070715,-1.8123776797082574,0.05048204948329649,494.92537919498034,59.4998302023069,472.92829617146856,21.997083023511777,1092.0650447581934,159.68463221109252,1032.564089767893,59.50095499030044
